source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pvalue
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,CHD9,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.98,2,2,2,0.31508172,0.0177079990094477
SMAD3,hgnc:uniprot:P27958,NRF1,KPNA1,Complex,Activation,DecreaseAmount,0.86,0.957125,0.79,2,3,1,0.3395796,0.0178098154449049
SMAD3,IL6,hgnc:mesh:D014028,MTR,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.38430107,0.0181539060587583
SMAD3,hgnc:uniprot:P27958,hgnc:uniprot:P22618,PFKP,Complex,Activation,IncreaseAmount,0.86,0.86,0.923,2,2,3,0.2278432,0.0182172698839861
SMAD3,hgnc:uniprot.chain:PRO_0000032458,NFE2L2,PSMD2,Activation,Inhibition,DecreaseAmount,0.923,0.86,0.79,3,2,1,0.25504366,0.0184235402001897
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,AMD1,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.98,2,2,1,0.33838066,0.0187311895542193
SMAD3,PPARG,QPCT,TMEM14C,Inhibition,Complex,IncreaseAmount,0.941,0.99922663202,0.89,1,9,1,0.22898473,0.0190660130141417
SMAD3,PAX8,PAX4,SPOP,Inhibition,Inhibition,DecreaseAmount,0.9793499999999999,0.86,0.79,2,2,1,0.30405352,0.0191538988875915
SMAD3,hgnc:mesh:D017382,PSMB9,LCORL,DecreaseAmount,Inhibition,IncreaseAmount,0.923,0.86,0.89,3,2,1,0.50722444,0.0194301729928234
SMAD3,APP,hgnc:mesh:D000952,ODF2L,Complex,Complex,IncreaseAmount,0.98,0.8775000000000001,0.89,1,2,1,0.30649346,0.0199888810451785
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,TAF15,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.98,2,2,1,0.33975738,0.0200696763328046
SMAD3,hgnc:uniprot:P27958,LEF1,GFPT2,Complex,Activation,DecreaseAmount,0.86,0.86,0.95,2,2,2,0.35253972,0.0201442595779904
SMAD3,hgnc:mesh:D017382,hgnc:uniprot:P33336,WDR1,DecreaseAmount,IncreaseAmount,IncreaseAmount,0.923,0.9419,0.86,3,4,2,0.22293788,0.0203039612686931
SMAD3,IL6,hgnc:mesh:D014028,VDAC2,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.19552429,0.0205010177954985
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,RPS16,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.89,2,2,1,0.072308436,0.0215930496752581
SMAD3,hgnc:uniprot:P27958,NRF1,MIB1,Complex,Activation,DecreaseAmount,0.86,0.957125,0.95,2,3,2,0.2717793,0.0216126112813537
SMAD3,PIN1,hgnc:uniprot:Q04211,ID3,Complex,Complex,DecreaseAmount,0.86,0.86,0.86,2,1,2,0.3975322,0.0219860552781197
SMAD3,IL6,hgnc:uniprot:P32954,NRGN,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.923,0.923,2,3,3,0.33217737,0.022091432688235
SMAD3,hgnc:uniprot.chain:PRO_0000032458,ELK1,P3H1,Activation,Phosphorylation,DecreaseAmount,0.923,0.951,0.79,3,3,1,0.35414463,0.0220972998483665
SMAD3,IL6,hgnc:mesh:D014028,MGST1,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.989999,2,6,6,0.17591314,0.0224399223481497
SMAD3,APP,hgnc:mesh:D000952,ARHGAP5,Complex,Complex,IncreaseAmount,0.98,0.8775000000000001,0.89,1,2,1,0.34440064,0.0228813400446682
SMAD3,IL6,hgnc:mesh:D014028,TLK2,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.5854169,0.0231439305813429
SMAD3,IL6,hgnc:mesh:D014028,CCBE1,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.29945764,0.02321733521116
SMAD3,hgnc:mesh:D017382,POU3F2,NSF,DecreaseAmount,Inhibition,DecreaseAmount,0.923,0.86,0.79,3,2,1,0.51991266,0.0232271377519473
SMAD3,APP,hgnc:mesh:D000952,RIF1,Complex,Complex,IncreaseAmount,0.98,0.8775000000000001,0.89,1,2,1,0.33952454,0.0234560619913144
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,TPM3,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.98999,2,2,3,0.13911101,0.0234857427756788
SMAD3,hgnc:mesh:D009369,hgnc:uniprot:Q64902,MAN1B1,Inhibition,Activation,IncreaseAmount,0.99912489666425,0.86,0.923,3,2,3,0.3906459,0.0235600873813768
SMAD3,hgnc:uniprot:P27958,hgnc:uniprot.chain:PRO_0000032458,BCL2L1,Complex,Activation,IncreaseAmount,0.86,0.9419,0.86,2,4,2,0.26189142,0.0237193720526067
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,RERE,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.34170416,0.0244170354968157
SMAD3,IL6,hgnc:mesh:D014028,KCNQ1OT1,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.30349126,0.024724577912411
SMAD3,APP,hgnc:mesh:D000952,CEP350,Complex,Complex,IncreaseAmount,0.98,0.8775000000000001,0.89,1,2,1,0.38642165,0.0247556454284336
SMAD3,IL6,hgnc:mesh:D014028,TBCD,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.49563956,0.0247621220819444
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,IDI1,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.98,2,2,1,0.2608808,0.0250067116372003
SMAD3,IL6,hgnc:mesh:D014028,RLF,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.7016827,0.0250276240311497
SMAD3,hgnc:uniprot.chain:PRO_0000032458,ATF3,ABCE1,Activation,Inhibition,DecreaseAmount,0.923,0.86,0.982,3,2,3,0.26669708,0.0251088026394757
SMAD3,INS,hgnc:chebi:8069,CYTH1,Complex,Inhibition,IncreaseAmount,0.86,0.86,0.89,2,2,1,0.7603454,0.0252428505479295
SMAD3,DUSP15,hgnc:chebi:8249,GPAA1,Inhibition,Activation,IncreaseAmount,0.86,0.86,0.89,2,2,1,0.31797293,0.0259736822854573
SMAD3,RFX5,RFX1,HECTD1,DecreaseAmount,Complex,DecreaseAmount,0.79,0.86,0.79,1,2,1,0.28245437,0.0263158530214415
SMAD3,hgnc:uniprot:P27958,hgnc:uniprot:P03129,PIR,Complex,Complex,IncreaseAmount,0.86,0.982423455,0.949271,2,8,6,0.20635588,0.0263937867412962
SMAD3,hgnc:uniprot.chain:PRO_0000032458,SP1,NXT1,Activation,DecreaseAmount,DecreaseAmount,0.923,0.923,0.79,3,3,1,0.34121642,0.026400632536406
SMAD3,RELA,hgnc:uniprot:Q9KI19,YBX3,Complex,Complex,IncreaseAmount,0.99902,0.8775000000000001,0.9419,4,2,4,0.10578515,0.0264129588337443
SMAD3,hgnc:uniprot:E3SXU4,TAL1,FUBP1,Complex,Complex,IncreaseAmount,0.9419,0.923,0.941,4,3,1,0.29307538,0.0271659036196844
SMAD3,IL6,hgnc:mesh:D014028,PQBP1,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.4569523,0.0271911771361554
SMAD3,IL6,hgnc:mesh:D014028,ATP2C1,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.98,2,6,2,0.37880567,0.0273192596431953
SMAD3,hgnc:uniprot.chain:PRO_0000032458,hgnc:mesh:D009765,MFAP2,Activation,Activation,DecreaseAmount,0.923,0.949271,0.86,3,6,2,0.22135337,0.0275769870697726
SMAD3,hgnc:mesh:D015427,hgnc:uniprot:P22945,NMRK1,Activation,Activation,IncreaseAmount,0.86,0.94757,0.86,2,1,2,0.5408923,0.0275855191659466
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,PRR13,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.24825265,0.0282740519721047
SMAD3,hgnc:uniprot.chain:PRO_0000032458,hgnc:uniprot:P27958,ATG3,Activation,Inhibition,IncreaseAmount,0.923,0.86,0.86,3,2,2,0.31674185,0.0283351244843478
SMAD3,hgnc:uniprot:B7ZLG1,HNF1A,MRPL28,Activation,DecreaseAmount,DecreaseAmount,0.923,0.9497812999999999,0.79,3,7,1,0.29261246,0.0293788645382632
SMAD3,hgnc:uniprot:Q64897,hgnc:uniprot:Q157B2,TAGLN2,Complex,Complex,IncreaseAmount,0.8775000000000001,0.9419,0.86,2,4,1,0.09891246,0.0294434901109276
SMAD3,hgnc:mesh:D017382,FOXO4,CCDC50,DecreaseAmount,Activation,DecreaseAmount,0.923,0.9497812999999999,0.79,3,7,1,0.20007414,0.0294600418636269
SMAD3,hgnc:uniprot.chain:PRO_0000032458,PSG11,MSMO1,Activation,Activation,DecreaseAmount,0.923,0.923,0.89,3,3,1,0.19912556,0.0295007028301715
SMAD3,IL6,hgnc:mesh:D014028,AKR7A2,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.3122896,0.029503716672983
SMAD3,hgnc:uniprot.chain:PRO_0000032458,hgnc:uniprot:Q64896,SOCS2,Activation,IncreaseAmount,IncreaseAmount,0.923,0.86,0.94757,3,2,5,0.45236522,0.0295791488622853
