source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pvalue
SMAD3,hgnc:uniprot:P27958,hgnc:uniprot:Q9C942,RIPK2,Complex,IncreaseAmount,IncreaseAmount,0.86,0.86,0.86,2,2,2,0.45117724,0.0422077957163385
SMAD3,hgnc:uniprot:P27958,hgnc:uniprot:P48845,FKBP5,Complex,Activation,IncreaseAmount,0.86,0.923,0.86,2,3,2,0.32750008,0.0423368331222221
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,NAA35,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.3863875,0.0423593976484815
SMAD3,hgnc:uniprot.chain:PRO_0000032458,ATF3,PACRGL,Activation,Inhibition,DecreaseAmount,0.923,0.86,0.982,3,2,3,0.7692689,0.0424292068750508
SMAD3,hgnc:uniprot:P27958,LEF1,ALG14,Complex,Activation,DecreaseAmount,0.86,0.86,0.79,2,2,1,0.69817007,0.0425773594461051
SMAD3,IL6,hgnc:mesh:D014028,TSPAN3,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.20167236,0.0426144658699126
SMAD3,PPARG,QPCT,ZNF292,Inhibition,Complex,DecreaseAmount,0.941,0.99922663202,0.89,1,9,1,0.38315535,0.0429206011910511
SMAD3,hgnc:uniprot.chain:PRO_0000032458,MEF2A,EML4,Activation,Activation,DecreaseAmount,0.923,0.8775000000000001,0.79,3,2,1,0.50573015,0.0429392773387063
SMAD3,AR,HOXD1,FAM174C,Inhibition,Inhibition,IncreaseAmount,0.89,0.9419,0.89,1,4,1,0.23639016,0.0429475800535243
SMAD3,IL6,hgnc:mesh:D014028,USB1,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.52763534,0.0429704195168407
SMAD3,RB1,NR6A1,DRAM2,Complex,DecreaseAmount,DecreaseAmount,0.86,0.79,0.79,2,1,1,0.37749872,0.0432139843420412
SMAD3,hgnc:uniprot.chain:PRO_0000032458,CDKN1A,AP000695.2,Activation,Inhibition,IncreaseAmount,0.923,0.951,0.86,3,3,2,0.35176885,0.0433142453220126
SMAD3,hgnc:uniprot:P03129,hgnc:uniprot:Q9UHZ2,NOC2L,Complex,Complex,IncreaseAmount,0.923,0.923,0.86,3,3,2,0.34239942,0.0436793404978866
SMAD3,MDM4,hgnc:uniprot:O74641,EEF2,Complex,Complex,DecreaseAmount,0.99923,0.949271,0.86,3,6,2,0.078539364,0.0439051410180499
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,MDM4,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.89,2,2,1,0.3814121,0.0439262941386967
SMAD3,hgnc:uniprot.chain:PRO_0000032458,PPARA,GTF2F1,Activation,Inhibition,DecreaseAmount,0.923,0.951,0.79,3,3,1,0.30081144,0.0442020686341336
SMAD3,IL6,hgnc:mesh:D014028,SCAMP3,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.28715998,0.0444493766812239
SMAD3,hgnc:uniprot.chain:PRO_0000032458,hgnc:uniprot:P27958,ZDHHC20,Activation,Inhibition,IncreaseAmount,0.923,0.86,0.86,3,2,2,0.4449432,0.0444835795876637
SMAD3,hgnc:mesh:D003643,hgnc:chebi:78510,SNCG,Inhibition,Activation,DecreaseAmount,0.923,0.86,0.89,1,2,1,0.20772754,0.044676384961776
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,PYCR2,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.40974787,0.0454524928094349
SMAD3,hgnc:fplx:p38,PRKACB,METTL5,Complex,Activation,DecreaseAmount,0.9980742422045,0.86,0.89,10,2,1,0.25495943,0.0459183173614733
SMAD3,hgnc:uniprot.chain:PRO_0000032458,hgnc:fplx:p38,ERGIC2,Activation,DecreaseAmount,IncreaseAmount,0.923,0.97305,0.89,3,3,1,0.2622078,0.0463925874827488
SMAD3,hgnc:mesh:D018417,hgnc:uniprot:P62713,IFIT5,Activation,Activation,IncreaseAmount,0.923,0.86,0.86,2,2,2,0.76272154,0.046394802988965
SMAD3,IL6,hgnc:mesh:D014028,CEBPB,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.26393557,0.04656566464925
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,SLC25A17,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.5595677,0.0465812237563733
SMAD3,IL6,hgnc:mesh:D014028,CCDC92,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.4017988,0.0465967872389665
SMAD3,hgnc:uniprot.chain:PRO_0000032458,STAT3,RRAS2,Activation,Dephosphorylation,IncreaseAmount,0.923,0.9419,0.86,3,1,1,0.26000395,0.0467816595172767
SMAD3,hgnc:uniprot:P04608,hgnc:uniprot:P03409,UPF3A,Complex,Complex,IncreaseAmount,0.86,0.9419,0.86,2,4,2,0.23643972,0.0470702160193959
SMAD3,RFX5,RFX1,XRCC5,DecreaseAmount,Complex,DecreaseAmount,0.79,0.86,0.79,1,2,1,0.1276777,0.0471016220989957
SMAD3,IL6,hgnc:mesh:D014028,PRKACA,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.4669977,0.0472499168458147
SMAD3,hgnc:mesh:D009369,PAX3,MFHAS1,Inhibition,DecreaseAmount,DecreaseAmount,0.99912489666425,0.86,0.79,3,1,1,0.35455263,0.0473512518745
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,FAM162A,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,0.21429774,0.0474753539272704
SMAD3,PAX8,PAX4,CDKN2AIPNL,Inhibition,Inhibition,DecreaseAmount,0.9793499999999999,0.86,0.79,2,2,1,0.44987434,0.0482028386034198
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,ZDHHC5,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.9615,2,2,2,0.49882424,0.0485631714114337
SMAD3,IL6,hgnc:mesh:D014028,ERCC1,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,0.23660386,0.0487153227981103
SMAD3,hgnc:uniprot:P27958,LEF1,WDR60,Complex,Activation,DecreaseAmount,0.86,0.86,0.79,2,2,1,0.31057227,0.0488377945406541
SMAD3,hgnc:uniprot:Q17103,MYCN,RTF2,Inhibition,Inhibition,DecreaseAmount,0.923,0.86,0.79,1,2,1,0.20280729,0.0489744349287962
SMAD3,hgnc:uniprot.chain:PRO_0000032458,IL4,FBL,Activation,IncreaseAmount,IncreaseAmount,0.923,0.9419,0.979665,3,4,5,0.21486276,0.0493256038908464
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,AL355312.4,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,-0.24219048,0.0495148483063915
SMAD3,RELA,hgnc:uniprot:Q04547,SLC25A6,Complex,Complex,DecreaseAmount,0.99902,0.8775000000000001,0.86,4,2,2,-0.09385699,0.0473873261214224
SMAD3,hgnc:mesh:D009361,HLF,RAB5C,Inhibition,Activation,IncreaseAmount,0.9499999996125795,0.923,0.86,18,3,2,-0.21160616,0.0438417332539216
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,HLA-C,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.98,2,2,1,-0.10964234,0.0407764273691374
SMAD3,hgnc:uniprot:P27958,NRF1,CTSZ,Complex,Activation,IncreaseAmount,0.86,0.957125,0.89,2,3,1,-0.13555036,0.040355122939858
SMAD3,IL6,hgnc:mesh:D014028,SRSF5,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,-0.27459252,0.0355136253574886
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,NDUFA8,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.89,2,2,1,-0.24458694,0.0347852562890461
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,IFITM2,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,-0.06879429,0.0344585764971444
SMAD3,hgnc:uniprot:B7ZLG1,hgnc:mesh:D054198,RPL35,Activation,Activation,IncreaseAmount,0.923,0.923,0.86,3,1,1,-0.053095493,0.0327321965786557
SMAD3,hgnc:uniprot.chain:PRO_0000032458,hgnc:uniprot:P40136,SS18L2,Activation,Inhibition,DecreaseAmount,0.923,0.923,0.94993439,3,3,8,-0.59369636,0.0319156792961112
SMAD3,hgnc:fplx:p38,PRKACB,IGFBP7,Complex,Activation,DecreaseAmount,0.9980742422045,0.86,0.89,10,2,1,-0.12610146,0.0300643218747942
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,RAB11A,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.89,2,2,1,-0.17821723,0.0272445989828574
SMAD3,hgnc:mesh:D017382,hgnc:uniprot:Q9X725,TRAPPC5,DecreaseAmount,Activation,IncreaseAmount,0.923,0.9419,0.923,3,3,3,-0.181186,0.0263486429493469
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,RPS24,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,-0.047998104,0.0258793201955431
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,LAMP1,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.89,2,2,1,-0.24171084,0.0254729502907
SMAD3,hgnc:uniprot.chain:PRO_0000032458,POU2F1,RPS28,Activation,Activation,DecreaseAmount,0.923,0.923,0.79,3,3,1,-0.053976618,0.0219860552781197
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,RPLP2,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.89,2,2,1,-0.045036912,0.0209942369190451
SMAD3,DUSP15,MHS2,DAAM1,Inhibition,Inhibition,IncreaseAmount,0.86,0.86,0.89,2,1,1,-0.35175654,0.0209931145480548
SMAD3,IL6,hgnc:mesh:D014028,RPL38,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,-0.07329374,0.019552199589815
SMAD3,RFX5,RFX1,MTLN,DecreaseAmount,Complex,DecreaseAmount,0.79,0.86,0.79,1,2,1,-0.24493074,0.0175845701737524
SMAD3,hgnc:mesh:D051379,MIR124-1,MAPRE1,Inhibition,IncreaseAmount,DecreaseAmount,0.94757,0.923,0.89,4,3,1,-0.39914948,0.0161853387591632
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,HMGN3,IncreaseAmount,Complex,IncreaseAmount,0.951,0.86,0.89,2,2,1,-0.2514574,0.0159164840519738
SMAD3,PAX8,PAX4,NME4,Inhibition,Inhibition,DecreaseAmount,0.9793499999999999,0.86,0.79,2,2,1,-0.22038145,0.0137059944319963
SMAD3,hgnc:uniprot:P27958,NRF1,UQCR11,Complex,Activation,IncreaseAmount,0.86,0.957125,0.89,2,3,1,-0.10303613,0.0135722382653003
SMAD3,hgnc:uniprot.chain:PRO_0000032458,hgnc:uniprot:P0CW71,CYSTM1,Activation,Complex,IncreaseAmount,0.923,0.923,0.86,3,3,1,-0.28004935,0.0128183756571474
SMAD3,IL6,hgnc:mesh:D014028,UQCRC2,Inhibition,Complex,IncreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,-0.3418201,0.0121239526523059
SMAD3,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,FSTL1,IncreaseAmount,Complex,DecreaseAmount,0.951,0.86,0.89,2,2,1,-0.19610949,0.011590239251589
SMAD3,hgnc:uniprot:P27958,hgnc:uniprot.chain:PRO_0000032458,TOP1,Complex,Activation,DecreaseAmount,0.86,0.9419,0.86,2,4,2,-0.2219405,0.0107313815371814
SMAD3,hgnc:uniprot:P04608,MAGEB2,DHRS7,Complex,Complex,DecreaseAmount,0.86,0.86,0.89,2,2,1,-0.58963364,0.0092794181134942
SMAD3,PAEP,hgnc:uniprot:P11030,SMAD3,Complex,Complex,DecreaseAmount,0.89,0.9824999832596085,0.86,1,15,2,-0.35245287,0.0078766327157389
SMAD3,hgnc:uniprot.chain:PRO_0000032458,hgnc:mesh:D009369,CZIB,Activation,Activation,DecreaseAmount,0.923,0.9998749507924128,0.9497812999999999,3,13,1,-0.5984145,0.006623965910866
SMAD3,hgnc:uniprot:Q08193,PGR,JAK1,Complex,Inhibition,DecreaseAmount,0.99596289,0.86,0.95,8,2,2,-0.1740829,0.0063184103389202
SMAD3,IL6,hgnc:mesh:D014028,NDUFA13,Inhibition,Complex,DecreaseAmount,0.8775000000000001,0.949271,0.89,2,6,1,-0.12261074,0.0047864340856265
SMAD3,hgnc:uniprot.chain:PRO_0000032458,STAT5A,DSTN,Activation,Phosphorylation,IncreaseAmount,0.923,0.8775000000000001,0.923,3,2,3,-0.06940123,0.0037709099817892
