source,bin_id,threshold,TP,FP,FN,size_A,size_B,TPR,FPR
BABAM1,6,0.01,6,1655,9,1661,15,0.4,0.9963877182420229
BABAM1,7,0.005,3,1658,5,1661,8,0.375,0.9981938591210114
BABAM1,8,0.001,1,1660,1,1661,2,0.5,0.9993979530403372
BABAM1,9,0.0005,1,1660,1,1661,2,0.5,0.9993979530403372
BABAM1,10,0.0001,1,1660,0,1661,1,1.0,0.9993979530403372
GSTO2,1,0.5,220,865,3020,1085,3240,0.06790123456790123,0.7972350230414746
GSTO2,2,0.2,35,1050,839,1085,874,0.04004576659038902,0.967741935483871
GSTO2,3,0.1,15,1070,348,1085,363,0.04132231404958678,0.9861751152073732
GSTO2,4,0.05,4,1081,157,1085,161,0.024844720496894408,0.9963133640552996
GSTO2,5,0.02,1,1084,57,1085,58,0.017241379310344827,0.9990783410138249
GSTO2,6,0.01,0,1085,25,1085,25,0.0,1.0
GSTO2,7,0.005,0,1085,12,1085,12,0.0,1.0
GSTO2,8,0.001,0,1085,4,1085,4,0.0,1.0
GSTO2,9,0.0005,0,1085,1,1085,1,0.0,1.0
GSTO2,10,0.0001,0,1085,0,1085,0,0.0,1.0
ECM1,1,0.5,769,2067,2450,2836,3219,0.23889406648027336,0.7288434414668548
ECM1,2,0.2,206,2630,640,2836,846,0.24349881796690306,0.9273624823695346
ECM1,3,0.1,90,2746,242,2836,332,0.2710843373493976,0.9682651622002821
ECM1,4,0.05,30,2806,100,2836,130,0.23076923076923078,0.9894217207334274
ECM1,5,0.02,10,2826,41,2836,51,0.19607843137254902,0.9964739069111425
ECM1,6,0.01,4,2832,22,2836,26,0.15384615384615385,0.998589562764457
ECM1,7,0.005,1,2835,9,2836,10,0.1,0.9996473906911142
ECM1,8,0.001,0,2836,2,2836,2,0.0,1.0
ECM1,9,0.0005,0,2836,0,2836,0,0.0,1.0
ECM1,10,0.0001,0,2836,0,2836,0,0.0,1.0
CPNE5,1,0.5,235,907,3047,1142,3282,0.07160268129189519,0.7942206654991243
CPNE5,2,0.2,44,1098,839,1142,883,0.04983012457531144,0.9614711033274956
CPNE5,3,0.1,21,1121,363,1142,384,0.0546875,0.9816112084063048
CPNE5,4,0.05,10,1132,148,1142,158,0.06329113924050633,0.9912434325744308
CPNE5,5,0.02,5,1137,57,1142,62,0.08064516129032258,0.9956217162872154
CPNE5,6,0.01,3,1139,28,1142,31,0.0967741935483871,0.9973730297723292
CPNE5,7,0.005,1,1141,12,1142,13,0.07692307692307693,0.999124343257443
CPNE5,8,0.001,0,1142,2,1142,2,0.0,1.0
CPNE5,9,0.0005,0,1142,1,1142,1,0.0,1.0
CPNE5,10,0.0001,0,1142,0,1142,0,0.0,1.0
DYNC2LI1,1,0.5,73,191,3114,264,3187,0.022905553812362724,0.7234848484848485
DYNC2LI1,2,0.2,27,237,824,264,851,0.03172737955346651,0.8977272727272727
DYNC2LI1,3,0.1,11,253,330,264,341,0.03225806451612903,0.9583333333333334
DYNC2LI1,4,0.05,4,260,122,264,126,0.031746031746031744,0.9848484848484849
DYNC2LI1,5,0.02,0,264,45,264,45,0.0,1.0
DYNC2LI1,6,0.01,0,264,23,264,23,0.0,1.0
DYNC2LI1,7,0.005,0,264,11,264,11,0.0,1.0
DYNC2LI1,8,0.001,0,264,2,264,2,0.0,1.0
DYNC2LI1,9,0.0005,0,264,2,264,2,0.0,1.0
DYNC2LI1,10,0.0001,0,264,1,264,1,0.0,1.0
DNALI1,1,0.5,678,1772,2518,2450,3196,0.21214017521902379,0.723265306122449
DNALI1,2,0.2,177,2273,620,2450,797,0.22208281053952322,0.9277551020408163
DNALI1,3,0.1,71,2379,231,2450,302,0.23509933774834438,0.9710204081632653
DNALI1,4,0.05,27,2423,98,2450,125,0.216,0.9889795918367347
DNALI1,5,0.02,12,2438,40,2450,52,0.23076923076923078,0.9951020408163266
DNALI1,6,0.01,7,2443,19,2450,26,0.2692307692307692,0.9971428571428571
DNALI1,7,0.005,1,2449,8,2450,9,0.1111111111111111,0.9995918367346939
DNALI1,8,0.001,0,2450,1,2450,1,0.0,1.0
DNALI1,9,0.0005,0,2450,0,2450,0,0.0,1.0
DNALI1,10,0.0001,0,2450,0,2450,0,0.0,1.0
PDLIM7,1,0.5,1212,2908,2065,4120,3277,0.3698504729935917,0.7058252427184466
PDLIM7,2,0.2,333,3787,496,4120,829,0.4016887816646562,0.9191747572815534
PDLIM7,3,0.1,147,3973,189,4120,336,0.4375,0.9643203883495146
PDLIM7,4,0.05,64,4056,85,4120,149,0.42953020134228187,0.9844660194174757
PDLIM7,5,0.02,22,4098,35,4120,57,0.38596491228070173,0.9946601941747573
PDLIM7,6,0.01,6,4114,20,4120,26,0.23076923076923078,0.9985436893203884
PDLIM7,7,0.005,3,4117,9,4120,12,0.25,0.9992718446601941
PDLIM7,8,0.001,1,4119,1,4120,2,0.5,0.999757281553398
PDLIM7,9,0.0005,0,4120,1,4120,1,0.0,1.0
PDLIM7,10,0.0001,0,4120,1,4120,1,0.0,1.0
C18orf32,1,0.5,0,0,3211,0,3211,0.0,0.0
C18orf32,2,0.2,0,0,819,0,819,0.0,0.0
C18orf32,3,0.1,0,0,320,0,320,0.0,0.0
C18orf32,4,0.05,0,0,135,0,135,0.0,0.0
C18orf32,5,0.02,0,0,46,0,46,0.0,0.0
C18orf32,6,0.01,0,0,25,0,25,0.0,0.0
C18orf32,7,0.005,0,0,8,0,8,0.0,0.0
C18orf32,8,0.001,0,0,1,0,1,0.0,0.0
C18orf32,9,0.0005,0,0,1,0,1,0.0,0.0
C18orf32,10,0.0001,0,0,1,0,1,0.0,0.0
HINT3,1,0.5,224,620,3007,844,3231,0.06932838130609718,0.7345971563981043
HINT3,2,0.2,65,779,767,844,832,0.078125,0.9229857819905213
HINT3,3,0.1,25,819,307,844,332,0.07530120481927711,0.9703791469194313
HINT3,4,0.05,17,827,144,844,161,0.10559006211180125,0.9798578199052133
HINT3,5,0.02,7,837,50,844,57,0.12280701754385964,0.9917061611374408
HINT3,6,0.01,1,843,24,844,25,0.04,0.9988151658767772
HINT3,7,0.005,0,844,5,844,5,0.0,1.0
HINT3,8,0.001,0,844,0,844,0,0.0,1.0
HINT3,9,0.0005,0,844,0,844,0,0.0,1.0
HINT3,10,0.0001,0,844,0,844,0,0.0,1.0
HMGCR,1,0.5,1428,2833,2186,4261,3614,0.3951300498063088,0.6648674020183055
HMGCR,2,0.2,491,3770,658,4261,1149,0.42732811140121846,0.8847688336071344
HMGCR,3,0.1,257,4004,322,4261,579,0.4438687392055268,0.9396855198310256
HMGCR,4,0.05,136,4125,175,4261,311,0.43729903536977494,0.9680826097160291
HMGCR,5,0.02,68,4193,83,4261,151,0.4503311258278146,0.9840413048580146
HMGCR,6,0.01,44,4217,47,4261,91,0.4835164835164835,0.9896737854963623
HMGCR,7,0.005,27,4234,33,4261,60,0.45,0.9936634592818587
