source,target,stmt_type,statement_text,belief,evidence_count,logfoldchange,pval
GTF3A,MGLL,DecreaseAmount,GTF3A decreases the amount of MGLL,0.79,1,-0.35006994,0.0418226534186809
GTF3A,ANP32A,DecreaseAmount,GTF3A decreases the amount of ANP32A,0.79,1,0.38180038,0.0171418351315564
GTF3A,RRAS,DecreaseAmount,GTF3A decreases the amount of RRAS,0.79,1,-0.26408368,0.0142071010922093
GTF3A,GTF3A,IncreaseAmount,GTF3A increases the amount of GTF3A,0.65,1,-1.425571,2.872546354928428e-16
SMAD3,IGFBP7,IncreaseAmount,SMAD3 increases the amount of IGFBP7,0.65,1,-0.12610146,0.0300643218747942
SMAD3,CCBE1,DecreaseAmount,SMAD3 decreases the amount of CCBE1,0.65,1,0.29945764,0.02321733521116
SMAD3,TXNDC12,DecreaseAmount,SMAD3 decreases the amount of TXNDC12,0.79,1,0.40882954,0.0053312003876884
SMAD3,YBX3,DecreaseAmount,SMAD3 decreases the amount of YBX3,0.79,1,0.10578515,0.0264129588337443
SMAD3,CEBPB,IncreaseAmount,SMAD3 increases the amount of CEBPB,0.65,1,0.26393557,0.04656566464925
SMAD3,CEBPB,DecreaseAmount,SMAD3 (modified) decreases the amount of CEBPB,0.65,1,0.26393557,0.04656566464925
SMAD3,VIM,DecreaseAmount,SMAD3 decreases the amount of VIM,0.65,1,0.05458241,0.0148957174021581
SMAD3,VIM,IncreaseAmount,SMAD3 (phosphorylated) increases the amount of VIM,0.65,1,0.05458241,0.0148957174021581
SMAD3,VIM,IncreaseAmount,SMAD3 increases the amount of VIM,0.923,2,0.05458241,0.0148957174021581
SMAD3,TOP1,DecreaseAmount,SMAD3 decreases the amount of TOP1,0.79,1,-0.2219405,0.0107313815371814
SMAD3,SPOP,DecreaseAmount,SMAD3 decreases the amount of SPOP,0.65,1,0.30405352,0.0191538988875915
SMAD3,BHLHE40,IncreaseAmount,SMAD3 increases the amount of BHLHE40,0.86,1,0.2907017,0.0420383021477113
SMAD3,BHLHE40,IncreaseAmount,SMAD3 (modified) increases the amount of BHLHE40,0.65,1,0.2907017,0.0420383021477113
SMAD3,SMAD3,IncreaseAmount,SMAD3 (modified) increases the amount of SMAD3,0.9972,2,-0.35245287,0.0078766327157389
SMAD3,SMAD3,IncreaseAmount,SMAD3 (phosphorylated on S425) increases the amount of SMAD3,0.89,1,-0.35245287,0.0078766327157389
SMAD3,SMAD3,IncreaseAmount,SMAD3 (phosphorylated on S423) increases the amount of SMAD3,0.89,1,-0.35245287,0.0078766327157389
SMAD3,SMAD3,IncreaseAmount,SMAD3 increases the amount of SMAD3,0.65,1,-0.35245287,0.0078766327157389
SMAD3,SMAD3,IncreaseAmount,SMAD3 increases the amount of SMAD3,0.999949270999607,21,-0.35245287,0.0078766327157389
SMAD3,SMAD3,DecreaseAmount,SMAD3 decreases the amount of SMAD3,0.9974635499982312,23,-0.35245287,0.0078766327157389
SMAD3,SMAD3,DecreaseAmount,SMAD3 (modified) decreases the amount of SMAD3,0.923,3,-0.35245287,0.0078766327157389
KDELR2,HSPA5,DecreaseAmount,KDELR2 (modified) decreases the amount of HSPA5,0.65,1,0.5912163,1.301346017904122e-07
ECM1,RHOC,IncreaseAmount,ECM1 increases the amount of RHOC,0.65,1,-0.25478002,0.0330269305612142
ECM1,LDHA,IncreaseAmount,ECM1 (modified) increases the amount of LDHA,0.65,1,0.25323635,0.038852390521236
ECM1,LDHA,IncreaseAmount,ECM1 increases the amount of LDHA,0.9419,3,0.25323635,0.038852390521236
PDLIM7,MCL1,IncreaseAmount,PDLIM7 increases the amount of MCL1,0.65,1,-0.38493767,0.0060490476317499
HMGCR,NFKBIA,DecreaseAmount,HMGCR decreases the amount of NFKBIA,0.89,1,0.74922,0.023206519171612
HMGCR,HMGCR,IncreaseAmount,HMGCR increases the amount of HMGCR,0.65,1,-1.4331535,1.747998499482162e-08
HMGCR,HMGCR,DecreaseAmount,HMGCR decreases the amount of HMGCR,0.86,2,-1.4331535,1.747998499482162e-08
HMGCR,HMGCR,IncreaseAmount,HMGCR (modified) increases the amount of HMGCR,0.86,2,-1.4331535,1.747998499482162e-08
HMGCR,HMGCR,IncreaseAmount,HMGCR increases the amount of HMGCR,0.94993439,5,-1.4331535,1.747998499482162e-08
ROCK2,ROCK2,IncreaseAmount,ROCK2 increases the amount of ROCK2,0.979665,5,-0.88223946,1.3472157940994294e-05
ROCK2,ROCK2,DecreaseAmount,ROCK2 decreases the amount of ROCK2,0.9419,4,-0.88223946,1.3472157940994294e-05
TMED10,TMED10,DecreaseAmount,TMED10 decreases the amount of TMED10,0.86,2,-1.012019,5.469713553092518e-12
GNAS,NFE2L2,DecreaseAmount,GNAS decreases the amount of NFE2L2,0.65,1,-0.3866449,0.0375699755891538
GNAS,NFE2L2,IncreaseAmount,GNAS increases the amount of NFE2L2,0.65,1,-0.3866449,0.0375699755891538
GNAS,GNAS,IncreaseAmount,GNAS increases the amount of GNAS,0.65,1,-0.998461,4.850351747575032e-24
GNAS,GNAS,DecreaseAmount,GNAS decreases the amount of GNAS,0.86,2,-0.998461,4.850351747575032e-24
GNAS,GNAS,DecreaseAmount,GNAS decreases the amount of GNAS,0.991866,4,-0.998461,4.850351747575032e-24
GNAS,GNAS,IncreaseAmount,GNAS increases the amount of GNAS,0.9926598,6,-0.998461,4.850351747575032e-24
PVR,LAMP1,IncreaseAmount,PVR increases the amount of LAMP1,0.65,1,-0.7209777,1.8928703474290473e-05
PVR,PVR,DecreaseAmount,PVR (sumoylation) decreases the amount of PVR,0.65,1,-0.97101885,0.0011755252986277
