perturbation,total_targets,explained_1hop,explained_2hop,explained_3hop,explained_1hop_excl,explained_2hop_excl,explained_3hop_excl,total_explained,coverage_1hop,coverage_2hop,coverage_3hop,coverage_total,unexplained
PLXNB1,141,0,115,139,0,115,24,139,0.0,81.56028368794325,98.58156028368793,98.58156028368793,2
PMAIP1,113,3,111,113,3,108,2,113,2.6548672566371683,98.23008849557522,100.0,100.0,0
PMVK,133,1,37,133,1,36,96,133,0.7518796992481203,27.819548872180448,100.0,100.0,0
POGZ,164,1,88,160,1,88,71,160,0.6097560975609756,53.65853658536586,97.5609756097561,97.5609756097561,4
POLG,147,1,128,147,1,127,19,147,0.6802721088435374,87.07482993197279,100.0,100.0,0
POLG2,210,0,64,206,0,64,142,206,0.0,30.476190476190478,98.09523809523809,98.09523809523809,4
POLR2M,140,0,24,138,0,24,114,138,0.0,17.142857142857142,98.57142857142858,98.57142857142858,2
PPP3CC,158,0,49,157,0,49,108,157,0.0,31.0126582278481,99.36708860759494,99.36708860759494,1
PRKAR1A,188,1,124,184,1,124,60,185,0.5319148936170213,65.95744680851064,97.87234042553192,98.40425531914893,3
PRKD1,128,0,114,127,0,114,13,127,0.0,89.0625,99.21875,99.21875,1
PROX1,160,1,121,159,1,120,38,159,0.625,75.625,99.375,99.375,1
PRPH2,144,0,81,143,0,81,62,143,0.0,56.25,99.30555555555556,99.30555555555556,1
PRR14,139,0,49,136,0,49,87,136,0.0,35.25179856115108,97.84172661870504,97.84172661870504,3
PSMD5,147,0,43,146,0,43,103,146,0.0,29.25170068027211,99.31972789115646,99.31972789115646,1
PVR,175,2,163,173,2,161,10,173,1.1428571428571428,93.14285714285714,98.85714285714286,98.85714285714286,2
PVT1,388,3,288,383,3,285,95,383,0.7731958762886598,74.22680412371135,98.71134020618557,98.71134020618557,5
QPCT,120,0,106,118,0,106,12,118,0.0,88.33333333333333,98.33333333333333,98.33333333333333,2
QRICH2,189,0,54,182,0,54,128,182,0.0,28.57142857142857,96.29629629629629,96.29629629629629,7
QTRT1,129,0,23,128,0,23,105,128,0.0,17.829457364341085,99.2248062015504,99.2248062015504,1
RAB13,147,1,59,146,1,58,87,146,0.6802721088435374,40.136054421768705,99.31972789115646,99.31972789115646,1
RAB1A,182,2,94,178,2,92,84,178,1.098901098901099,51.64835164835166,97.8021978021978,97.8021978021978,4
RAB3A,148,0,65,144,0,65,79,144,0.0,43.91891891891892,97.2972972972973,97.2972972972973,4
RAB5B,148,1,37,148,1,36,111,148,0.6756756756756757,25.0,100.0,100.0,0
RAD50,135,1,105,131,1,105,26,132,0.7407407407407408,77.77777777777779,97.03703703703704,97.77777777777777,3
RAP1A,137,0,82,137,0,82,55,137,0.0,59.854014598540154,100.0,100.0,0
RAP1GDS1,154,1,67,153,1,66,86,153,0.6493506493506493,43.506493506493506,99.35064935064936,99.35064935064936,1
RAPGEF3,157,0,133,155,0,133,22,155,0.0,84.71337579617835,98.72611464968153,98.72611464968153,2
RASIP1,265,0,119,261,0,119,142,261,0.0,44.905660377358494,98.49056603773585,98.49056603773585,4
RBFOX2,174,2,147,174,2,145,27,174,1.1494252873563218,84.48275862068965,100.0,100.0,0
REPIN1,165,10,118,163,10,108,45,163,6.0606060606060606,71.51515151515152,98.7878787878788,98.7878787878788,2
REST,180,1,170,179,1,169,9,179,0.5555555555555556,94.44444444444444,99.44444444444444,99.44444444444444,1
REXO4,168,0,35,164,0,35,129,164,0.0,20.833333333333336,97.61904761904762,97.61904761904762,4
RGS12,172,2,96,169,2,94,73,169,1.1627906976744187,55.81395348837209,98.25581395348837,98.25581395348837,3
RNF146,159,0,64,158,0,64,95,159,0.0,40.25157232704403,99.37106918238993,100.0,0
RNFT1,173,0,1,132,0,1,131,132,0.0,0.5780346820809248,76.30057803468208,76.30057803468208,41
ROCK2,128,1,119,128,1,118,9,128,0.78125,92.96875,100.0,100.0,0
RPL7L1,214,0,17,200,0,17,183,200,0.0,7.943925233644859,93.45794392523365,93.45794392523365,14
RSPO3,121,0,60,120,0,60,60,120,0.0,49.586776859504134,99.17355371900827,99.17355371900827,1
RWDD2B,142,0,6,139,0,6,133,139,0.0,4.225352112676056,97.88732394366197,97.88732394366197,3
S100A10,142,1,139,142,1,138,3,142,0.7042253521126761,97.88732394366197,100.0,100.0,0
SBF2,169,0,59,168,0,59,109,168,0.0,34.9112426035503,99.40828402366864,99.40828402366864,1
SCARB1,156,2,145,154,2,143,9,154,1.282051282051282,92.94871794871796,98.71794871794873,98.71794871794873,2
SEC11C,148,0,1,0,0,1,0,1,0.0,0.6756756756756757,0.0,0.6756756756756757,147
