Gene,Num_Descendants,Edges_Found
DHTKD1,228,0
UHRF1BP1,164,0
MFSD4B,156,0
GSTM4,154,0
SLC22A4,144,0
UGGT1,170,0
SMARCAD1,182,0
ALS2CL,128,0
NDUFA8,172,0
RSPO3,121,0
AGER,162,0
CNPY3,174,0
SMARCD2,187,0
ZNF296,130,0
SBF2,168,0
ACSS2,137,0
IST1,173,0
STAT5A,171,0
NUDT18,159,0
PARP12,-1,-1
FGD6,150,0
TRAPPC6A,146,0
