source,intermediate_1,intermediate_2,intermediate_3,target,stmt_type_1,stmt_type_2,stmt_type_3,stmt_type_4,belief_1,belief_2,belief_3,belief_4,evidence_1,evidence_2,evidence_3,evidence_4,logfoldchange,pval
RASIP1,CDC42,SLC33A1,uniprot.chain:PRO_0000032458,SERPINE1,Complex,Complex,Complex,IncreaseAmount,0.7758941660771121,0.8302066725941236,0.7292018436502476,0.8552021769358709,2,1,281,142,-0.43553644,3.51416255056377e-05
TTC32,NCAPH2,JUN,KLF6,KLF6,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.7268790190252898,0.711318473376888,1,1,7,8,-0.7835853,0.0002384695679751
CALCOCO1,HNRNPL,uniprot:Q2HR75,YAP1,ANKRD1,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.8302066725941236,0.8302066725941236,0.7058844060592511,1,1,1,10,-0.9110734,1.2722388583888777e-05
