perturbation,total_descendants,explained_count,not_explained_count,coverage,explained_descendants
HEATR5B,182,0,182,0.0,
ZNF324B,129,0,129,0.0,
REST,180,0,180,0.0,
AGAP2,142,0,142,0.0,
ARL4A,174,0,174,0.0,
PRKAR1A,188,0,188,0.0,
TTC32,132,0,132,0.0,
KMT2D,176,0,176,0.0,
RPL7L1,214,0,214,0.0,
AGPAT1,183,0,183,0.0,
ITGB4,132,1,131,0.007575757575757576,PTK2
DNMT3A,129,0,129,0.0,
AMT,191,0,191,0.0,
POGZ,164,0,164,0.0,
PECR,169,0,169,0.0,
SEC11C,148,0,148,0.0,
SELE,150,0,150,0.0,
EDEM2,154,0,154,0.0,
AKAP12,147,0,147,0.0,
VPS11,197,0,197,0.0,
IQGAP1,224,0,224,0.0,
DMRTA1,155,0,155,0.0,
ABHD17C,168,0,168,0.0,
MRPL34,173,0,173,0.0,
RASIP1,265,0,265,0.0,
TMEM115,148,0,148,0.0,
ARHGAP26,141,0,141,0.0,
PLPP3,137,0,137,0.0,
PDP1,154,0,154,0.0,
ENSA,166,0,166,0.0,
ZNF22,164,0,164,0.0,
HSPA13,144,0,144,0.0,
RGS12,172,0,172,0.0,
POLG,147,0,147,0.0,
CLIC1,170,0,170,0.0,
B3GNT8,184,0,184,0.0,
TNFRSF1B,178,0,178,0.0,
MAP1LC3B2,138,0,138,0.0,
RNFT1,173,0,173,0.0,
THADA,140,0,140,0.0,
FAIM,124,0,124,0.0,
MT1F,158,0,158,0.0,
TRPC4AP,201,0,201,0.0,
MESP1,154,0,154,0.0,
KLHL7,191,0,191,0.0,
XPO7,356,0,356,0.0,
TRA2A,144,0,144,0.0,
PDLIM2,137,0,137,0.0,
SOX4,160,0,160,0.0,
MYEOV,148,0,148,0.0,
CCDC36,141,0,141,0.0,
SMARCC1,122,0,122,0.0,
TNS2,144,0,144,0.0,
PLEKHA5,136,0,136,0.0,
LTN1,150,0,150,0.0,
NEAT1,144,0,144,0.0,
SH3RF1,161,0,161,0.0,
ZNF764,201,0,201,0.0,
PDCD6,137,0,137,0.0,
PHF19,165,0,165,0.0,
RAD50,135,0,135,0.0,
CDH13,137,0,137,0.0,
LSP1,165,0,165,0.0,
RAP1GDS1,154,1,153,0.006493506493506494,RAP1B
NCEH1,163,0,163,0.0,
SNAPC5,143,0,143,0.0,
THBD,143,0,143,0.0,
GPSM3,159,0,159,0.0,
NUB1,146,0,146,0.0,
HIF1A,147,0,147,0.0,
GLI2,131,0,131,0.0,
SHISA4,175,0,175,0.0,
MYH11,119,0,119,0.0,
PHLDA3,153,0,153,0.0,
EVL,144,0,144,0.0,
TBCEL,157,0,157,0.0,
ZNF281,247,0,247,0.0,
FLII,149,0,149,0.0,
MUS81,164,0,164,0.0,
ADAMTS7,132,0,132,0.0,
TTLL11,145,0,145,0.0,
EHMT2,193,1,192,0.0051813471502590676,CDYL
DHODH,104,0,104,0.0,
KCTD9,153,0,153,0.0,
LMAN1,173,0,173,0.0,
NUCB1,117,0,117,0.0,
TRAF6,141,1,140,0.0070921985815602835,MYC
PRR14,139,0,139,0.0,
NFKB2,182,0,182,0.0,
LAPTM4A,160,0,160,0.0,
DGKA,150,0,150,0.0,
SLC26A6,120,0,120,0.0,
RBFOX2,174,0,174,0.0,
CLDN1,166,0,166,0.0,
INPP5D,151,0,151,0.0,
UBA5,197,0,197,0.0,
IGFBP2,139,0,139,0.0,
VAMP8,145,0,145,0.0,
S100A10,142,0,142,0.0,
CEP41,198,0,198,0.0,
