source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pval
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:uniprot.chain:PRO_0000032458,MYC,Complex,Complex,IncreaseAmount,0.94757,0.86,0.9824993799855,5,2,12,0.5681117,9.54609478048944e-05
PVT1,hgnc:uniprot:P86981,hgnc:uniprot:Q9UHZ2,EEF2,Complex,Complex,IncreaseAmount,0.86,0.86,0.86,2,2,2,0.18922782,0.0001024325100812
PVT1,hgnc:mesh:D009369,CREB1,RPL9,Inhibition,IncreaseAmount,DecreaseAmount,0.99916994,0.94757,0.79,1,1,1,0.11345615,0.0001026089131252
PVT1,hgnc:uniprot:Q8L925,hgnc:mesh:D011839,RPL23A,Complex,Complex,DecreaseAmount,0.923,0.9419,0.86,3,4,2,0.123326875,0.000102744002997
PVT1,hgnc:uniprot:Q9W4S7,POU1F1,MRPL17,Complex,Complex,DecreaseAmount,0.86,0.949271,0.79,2,6,1,0.45946476,0.0001426788426155
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPS12,Complex,Complex,IncreaseAmount,0.9419,0.923,0.98,4,3,1,0.10066371,0.0001794797268599
PVT1,hgnc:uniprot:Q9ZPE7,hgnc:uniprot.chain:PRO_0000032458,NCL,Complex,Complex,IncreaseAmount,0.94757,0.86,0.9419,5,2,4,0.27070567,0.0001875231070062
PVT1,hgnc:mesh:D009369,hgnc:mesh:D013964,NPM1,Inhibition,Activation,IncreaseAmount,0.99916994,0.996953817,0.86,1,1,2,0.24645661,0.00020493535288
PVT1,hgnc:uniprot:Q9ZPE7,MYOD1,MFNG,Complex,Complex,DecreaseAmount,0.94757,0.94993439,0.79,5,8,1,0.66222095,0.000221403243944
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPS23,Complex,Complex,DecreaseAmount,0.9419,0.923,0.98,4,3,2,0.09575164,0.0002467011455488
PVT1,hgnc:uniprot:Q9W4S7,MYC,RPL11,Complex,Complex,IncreaseAmount,0.86,0.9497812999999999,0.79,2,7,1,0.09898582,0.0002535945294639
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPL13A,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.0934459,0.0003468693524555
PVT1,MYC,hgnc:uniprot:Q3UYI5,RPS6,Inhibition,Activation,DecreaseAmount,0.98922,0.86,0.923,5,2,3,0.08466097,0.0003592065678722
PVT1,hgnc:uniprot:Q9W4S7,VDR,RPL3,Complex,Complex,DecreaseAmount,0.86,0.86,0.79,2,2,1,0.111462936,0.0003726852046622
PVT1,hgnc:uniprot:Q9W4S7,hgnc:mesh:D003550,MT-ND4,Complex,Inhibition,DecreaseAmount,0.86,0.86,0.8775000000000001,2,2,2,0.15343176,0.0003929665251059
PVT1,hgnc:mesh:D009369,HSF2,ALG3,Inhibition,DecreaseAmount,IncreaseAmount,0.99916994,0.86,0.949271,1,2,5,0.8604124,0.0004017457476184
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPL27A,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.108287245,0.0004022325699669
PVT1,hgnc:uniprot:Q9W4S7,MAZ,RPL24,Complex,Complex,DecreaseAmount,0.86,0.9499999999999745,0.79,2,26,1,0.10588204,0.0004074723865544
PVT1,hgnc:uniprot:P32554,hgnc:mesh:D052638,RPL35A,Complex,Complex,DecreaseAmount,0.9419,0.923,0.89,4,3,1,0.11299336,0.0004459339592066
