source,intermediate_1,intermediate_2,intermediate_3,target,stmt_type_1,stmt_type_2,stmt_type_3,stmt_type_4,belief_1,belief_2,belief_3,belief_4,evidence_1,evidence_2,evidence_3,evidence_4,logfoldchange,pval
ABHD17C,KRAS,CKS1B,MIR1258,IPP,Depalmitoylation,Complex,Activation,DecreaseAmount,0.6351178583063539,0.7758941660771121,0.5346178581543906,0.6301266297471854,1,2,1,1,1.2829194,0.0201102460940725
ABCA5,NR4A1,uniprot.chain:PRO_0000032458,MIR205,ABCA5,Complex,Inhibition,Activation,DecreaseAmount,0.8302066725941236,0.4410755819620935,0.5346178581543906,0.6324007949925685,1,2,1,1,-2.8637323,0.039374999776927
AGPAT1,uniprot:O07582,CD48,uniprot:Q9ZHD2,DYNLRB1,Complex,Complex,Activation,DecreaseAmount,0.4261616001712757,0.4261616001712757,0.37152225732969113,0.47385749870081684,1,1,1,1,-0.45270944,7.819870483383205e-05
AGPAT1,uniprot:Q8MUF9,uniprot.chain:PRO_0000032458,ELK1,MRPL54,Phosphorylation,Activation,Inhibition,DecreaseAmount,0.5321639605290098,0.36680286613646285,0.43574026209367445,0.6301266297471854,1,2,1,1,-0.6634935,9.606511457891036e-05
ACSS2,uniprot:O74845,NR1H4,MIR802,RPL7L1,Acetylation,Activation,Inhibition,DecreaseAmount,0.46857240449751425,0.37152225732969113,0.48240926517014815,0.6309317981560123,1,1,1,2,0.66262776,2.9230201055757193e-05
AAGAB,uniprot:P0DTD1,uniprot:V9VHH0,PPL,CORO1B,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.4107943307806583,0.4261616001712757,0.48445268803510766,1,23,1,1,0.7797119,7.615691679627148e-05
ARHGAP26,ASAP1,uniprot:Q9FII7,SMC5,SLF2,Complex,Complex,Complex,IncreaseAmount,0.4261616001712757,0.4443350122709595,0.4443350122709595,0.48445268803510766,1,1,1,1,-1.4051522,0.0421915596421142
