source,target,classification
ROCK2,TCF15,experimental_pairs
UIMC1,SYNJ2,experimental_pairs
ZNF229,PNKD,experimental_pairs
UHRF1BP1,PRR13,experimental_pairs
ADAMTS7,FLII,experimental_pairs
BABAM1,TMEM245,experimental_pairs
CTNND1,AURKAIP1,experimental_pairs
TTBK2,EXOSC7,experimental_pairs
DYNC2LI1,GANAB,experimental_pairs
MGA,SNRPF,experimental_pairs
DET1,MRPS14,experimental_pairs
PHF19,CALM1,experimental_pairs
ZSWIM3,RAI14,experimental_pairs
MRPL34,ATXN2L,experimental_pairs
SMUG1,SELENOM,experimental_pairs
DMXL1,CD59,experimental_pairs
DGKA,NOSIP,experimental_pairs
DKK1,SLC27A5,experimental_pairs
TNXB,YBX1,experimental_pairs
ITGB4,UACA,experimental_pairs
PARP12,PDIA3,experimental_pairs
PDLIM2,DKK1,experimental_pairs
UGGT1,ARL6IP5,experimental_pairs
PDCD6,RPL35,experimental_pairs
ITGA1,C11orf58,experimental_pairs
QTRT1,RPL15,experimental_pairs
NME6,TKT,experimental_pairs
ARL4A,PSMA7,experimental_pairs
SMAD3,NDUFA13,experimental_pairs
CYP2J2,CPNE3,experimental_pairs
NOS3,THBS1,experimental_pairs
ZDHHC18,KLHL4,experimental_pairs
SEC11C,SLC25A6,experimental_pairs
SELE,CDC27,experimental_pairs
NUB1,CLCN3,experimental_pairs
RGS12,TGM2,experimental_pairs
TMEM167B,NAMPT,experimental_pairs
ZNF324B,FYTTD1,experimental_pairs
REPIN1,CALM3,experimental_pairs
SEC61A2,UBE2S,experimental_pairs
POLG,DNAJC10,experimental_pairs
NDUFAF1,AP002387.2,experimental_pairs
EVL,NTPCR,experimental_pairs
NR2C1,PFDN1,experimental_pairs
GPR162,LRRC8B,experimental_pairs
XPO7,SUPT16H,experimental_pairs
ZNF785,ATRX,experimental_pairs
TNS2,CNOT7,experimental_pairs
HIF1A,GPX8,experimental_pairs
ARPC2,MT-ATP6,experimental_pairs
MFSD4B,RPS20,experimental_pairs
ARPC2,ARL6IP5,experimental_pairs
HEATR5B,AKIRIN1,experimental_pairs
TYRO3,EEF2,experimental_pairs
AAGAB,EMC4,experimental_pairs
ZNF229,RGS10,experimental_pairs
POLG,ATP5PD,experimental_pairs
ARNT,TPM4,experimental_pairs
CARD8,CTBP1,experimental_pairs
NOS3,MT-ATP8,experimental_pairs
SLC26A6,PELP1,experimental_pairs
P4HA2,EPHA2,experimental_pairs
NUB1,NPC2,experimental_pairs
TTC32,YPEL5,experimental_pairs
DMXL1,NAA10,experimental_pairs
BOLA1,SH3GLB1,experimental_pairs
IRF1,PRMT2,experimental_pairs
SLC26A6,ITGA3,experimental_pairs
TRAF6,ZNF280D,experimental_pairs
STAT5A,TAOK1,experimental_pairs
FZD6,RPL32,experimental_pairs
FGD6,HM13,experimental_pairs
ARPC2,TMED7,experimental_pairs
TMEM167B,ATP1B3,experimental_pairs
AGTRAP,TMEM123,experimental_pairs
MUS81,GLG1,experimental_pairs
RAB1A,TWF1,experimental_pairs
KALRN,FDPS,experimental_pairs
KDELR2,SGCB,experimental_pairs
NFKB2,DCBLD2,experimental_pairs
SVIL,DAD1,experimental_pairs
CDCA2,WDR26,experimental_pairs
RBFOX2,C19orf53,experimental_pairs
RAPGEF3,USP53,experimental_pairs
NCOA5,UQCRQ,experimental_pairs
RBFOX2,U2SURP,experimental_pairs
TRA2A,C19orf53,experimental_pairs
THADA,SEL1L,experimental_pairs
ARHGAP26,IGF2BP2,experimental_pairs
EMP2,APMAP,experimental_pairs
TYRO3,KIF5B,experimental_pairs
KLHL7,ACTR3,experimental_pairs
PDLIM7,EBLN3P,experimental_pairs
HAPLN3,ARPC3,experimental_pairs
CREB1,UACA,experimental_pairs
BOLA1,ATP5MD,experimental_pairs
ACSS2,TXNL4A,experimental_pairs
AGTRAP,RPL9,experimental_pairs
RAD50,MIR222HG,experimental_pairs
TNS2,PPIL3,experimental_pairs
GTF3A,PKP4,experimental_pairs
TRIM47,LYPLA1,experimental_pairs
KCTD9,KCTD20,experimental_pairs
ACAD11,METTL17,experimental_pairs
CCDC36,SPCS1,experimental_pairs
SBF2,GPI,experimental_pairs
KMT2D,WDR36,experimental_pairs
EVL,DKK1,experimental_pairs
SLC2A6,RPL32,experimental_pairs
XPO7,ARPC1A,experimental_pairs
ZNF22,DNAJC10,experimental_pairs
RAB5B,FZD6,experimental_pairs
CREB1,BTF3L4,experimental_pairs
ZSCAN29,RPL13A,experimental_pairs
RAB13,ANXA1,experimental_pairs
OS9,SLC17A5,experimental_pairs
PVT1,CAVIN3,experimental_pairs
CREB1,CEBPZ,experimental_pairs
CLDN1,HP1BP3,experimental_pairs
TRIM47,BTF3L4,experimental_pairs
GPSM3,ATP5F1C,experimental_pairs
SNAPC5,PRXL2A,experimental_pairs
ENSA,NCKAP1,experimental_pairs
NR2C1,TCEAL3,experimental_pairs
PMVK,FAM126A,experimental_pairs
PLTP,ENO1,experimental_pairs
NCEH1,CNIH4,experimental_pairs
SMARCAD1,DNAJC8,experimental_pairs
TTLL11,MRPL42,experimental_pairs
CEP41,MRPL20,experimental_pairs
TRPC4AP,GSPT1,experimental_pairs
ZNF764,ANAPC4,experimental_pairs
MNT,LRRC8B,experimental_pairs
GABARAPL2,UBE2J1,experimental_pairs
REPIN1,HSD17B10,experimental_pairs
TBCEL,ECSCR,experimental_pairs
ZNF774,NDUFA3,experimental_pairs
USP25,MAP3K3,experimental_pairs
PHLDA3,MT-CYB,experimental_pairs
PVT1,HUS1,experimental_pairs
OMA1,KRT18,experimental_pairs
SELE,RSBN1L,experimental_pairs
TRIM68,METTL14,experimental_pairs
RAB1A,TVP23B,experimental_pairs
B3GNT8,SLC25A6,experimental_pairs
GSTM4,SVIL,experimental_pairs
CUL9,MPG,experimental_pairs
ARL4A,MEF2C,experimental_pairs
ENSA,ALG5,experimental_pairs
ROCK2,NDUFA8,experimental_pairs
TRA2A,LYRM2,experimental_pairs
TTLL11,ADI1,experimental_pairs
DET1,CASP3,experimental_pairs
BABAM1,NOVA1,experimental_pairs
TMEM9,ZEB1,experimental_pairs
KPNA2,CACNG8,experimental_pairs
SBF2,MLXIP,experimental_pairs
SVIL,WDR60,experimental_pairs
DKK1,YIPF6,experimental_pairs
NOTCH4,SEC23A,experimental_pairs
DNALI1,HYAL2,experimental_pairs
KPNA2,MRPS7,experimental_pairs
TMEM38A,ACADVL,experimental_pairs
QRICH2,ARPC1B,experimental_pairs
TLR4,RALB,experimental_pairs
DTYMK,ZNF451,experimental_pairs
SNX13,ANTXR2,experimental_pairs
GNAS,PSMA4,experimental_pairs
LAG3,HMOX2,experimental_pairs
VAMP8,PAPOLA,experimental_pairs
FAIM,COL18A1,experimental_pairs
RAB13,SMAD3,experimental_pairs
CDKN2B,AMD1,experimental_pairs
SMIM13,CLN8,experimental_pairs
ZNRF1,HNRNPA2B1,experimental_pairs
PRR14,GALNT1,experimental_pairs
SETD3,SLC3A2,experimental_pairs
LPIN3,TMX3,experimental_pairs
HMGCR,ABI3BP,experimental_pairs
ABHD16A,RPS19,experimental_pairs
CALCOCO1,CST3,experimental_pairs
EHMT2,THRAP3,experimental_pairs
DHTKD1,BMPR2,experimental_pairs
TRAF3IP2,CD81,experimental_pairs
TRPC4AP,LMAN2,experimental_pairs
GSTO2,ELAVL1,experimental_pairs
ECM1,CKS2,experimental_pairs
DNALI1,RND3,experimental_pairs
MIR762HG,PTK2,experimental_pairs
DMXL1,H2AFY,experimental_pairs
XPO7,BNIP2,experimental_pairs
NT5C3B,PLPBP,experimental_pairs
RBFOX2,FAF1,experimental_pairs
DYNC2LI1,MRPL19,experimental_pairs
VPS45,HMGXB4,experimental_pairs
ZNF581,CHCHD4,experimental_pairs
ZNF827,KDELR3,experimental_pairs
ARNT,TRAPPC1,experimental_pairs
NR2C1,DEGS1,experimental_pairs
KPNA2,MXD4,experimental_pairs
LPIN3,NDEL1,experimental_pairs
CEP41,BCL2L1,experimental_pairs
PARP12,POLR2E,experimental_pairs
PVR,MMP24OS,experimental_pairs
ACAD11,PGRMC1,experimental_pairs
MNT,LEO1,experimental_pairs
MUS81,RBMX2,experimental_pairs
ZNF22,POLE3,experimental_pairs
TRIP12,EDN1,experimental_pairs
NRP1,FYTTD1,experimental_pairs
TRAF3IP2,RBCK1,experimental_pairs
OMA1,NME3,experimental_pairs
PECR,TM2D2,experimental_pairs
CARD8,CDH2,experimental_pairs
EDEM2,LAGE3,experimental_pairs
MRPL34,HSCB,experimental_pairs
ZNF281,POLD3,experimental_pairs
MALAT1,CNIH1,experimental_pairs
CYP2J2,CDK13,experimental_pairs
GTF3A,MYL9,experimental_pairs
TMEM184C,GLIPR2,experimental_pairs
POLG,TPM1,experimental_pairs
KDELR2,EIF4E,experimental_pairs
NME6,PNN,experimental_pairs
ZNF785,MRPS2,experimental_pairs
RBFOX2,AHCYL1,experimental_pairs
TRIB1,ANAPC11,experimental_pairs
PMVK,TMX3,experimental_pairs
ACOT8,TCP1,experimental_pairs
MT1F,CFAP298,experimental_pairs
NME6,RPL8,experimental_pairs
TBCEL,PVR,experimental_pairs
CEP41,HAGH,experimental_pairs
CPNE5,PPP2CB,experimental_pairs
PDCD6,PCNP,experimental_pairs
MT1E,ATRAID,experimental_pairs
PA2G4,KRT8,experimental_pairs
ZNF764,TUBA1A,experimental_pairs
ALS2CL,HEXA,experimental_pairs
TSLP,RBBP7,experimental_pairs
HECW1,DDB2,experimental_pairs
KALRN,BCKDK,experimental_pairs
PLPP3,CREBL2,experimental_pairs
NCOA5,TFPI,experimental_pairs
GABARAPL2,REST,experimental_pairs
PARP12,BRK1,experimental_pairs
BAG6,TAGLN2,experimental_pairs
AAGAB,F2R,experimental_pairs
DMXL1,MYH10,experimental_pairs
IRF1,NOL4L,experimental_pairs
ADAMTS7,TXN2,experimental_pairs
GPR162,SON,experimental_pairs
PDLIM2,MPZL2,experimental_pairs
SMAD3,ENAH,experimental_pairs
AMT,R3HDM2,experimental_pairs
CDCA2,ZCCHC7,experimental_pairs
EHMT2,THBD,experimental_pairs
MESP1,TMBIM6,experimental_pairs
AAGAB,SUPT20H,experimental_pairs
BAG6,ELOVL6,experimental_pairs
DGKA,DDX42,experimental_pairs
GNAS,NFE2L2,experimental_pairs
RAD50,DPH3,experimental_pairs
ATP6V0E2,RPL35,experimental_pairs
AKAP12,H3F3A,experimental_pairs
SLC26A6,NAAA,experimental_pairs
BABAM1,WDR43,experimental_pairs
ZSCAN29,NDUFA6,experimental_pairs
RAD50,PDCD7,experimental_pairs
PRKD1,CSNK1A1,experimental_pairs
RAB5B,RRM2B,experimental_pairs
PDP1,OSTC,experimental_pairs
AGTRAP,MT-ATP8,experimental_pairs
COLGALT1,PDHB,experimental_pairs
NR2C1,PNN,experimental_pairs
XPO7,MTOR,experimental_pairs
EHMT2,ANO10,experimental_pairs
PVT1,PPDPF,experimental_pairs
PHLDA3,SSNA1,experimental_pairs
KLHL7,CBX6,experimental_pairs
P2RX7,CTNNA1,experimental_pairs
STAT5A,PCAT19,experimental_pairs
ACAD11,HM13,experimental_pairs
PDLIM2,TXNRD2,experimental_pairs
NT5C3B,TUBB4B,experimental_pairs
KIF3A,SEC61A1,experimental_pairs
DET1,ZFAS1,experimental_pairs
RPL7L1,MFF,experimental_pairs
AGAP3,PFDN4,experimental_pairs
TRAF3IP2,SMDT1,experimental_pairs
SMARCB1,CTSB,experimental_pairs
ZNF235,SH3BP5,experimental_pairs
AGTRAP,C17orf49,experimental_pairs
CALCOCO1,CDYL,experimental_pairs
MMP11,LGALS1,experimental_pairs
DCUN1D5,MAGOH,experimental_pairs
GRB14,CFDP1,experimental_pairs
GSS,RPL17,experimental_pairs
NME6,SMAP1,experimental_pairs
MNT,TCF4,experimental_pairs
DDX60L,MAGED2,experimental_pairs
PVT1,POLR3GL,experimental_pairs
GRB14,UBE2Z,experimental_pairs
ARHGAP26,PFN1,experimental_pairs
KDM6B,RPS27,experimental_pairs
CDCA2,PRPF4B,experimental_pairs
KMT2D,COL5A1,experimental_pairs
SMARCD2,BCAP31,experimental_pairs
ZNF281,NAP1L1,experimental_pairs
TNFSF10,PHKB,experimental_pairs
ABHD16A,WDR36,experimental_pairs
GTF3A,MCAM,experimental_pairs
LAG3,KPNA4,experimental_pairs
CEP41,TMEM147,experimental_pairs
P2RX7,VPS4B,experimental_pairs
ECE1,TIMM10,experimental_pairs
AGAP3,ZMPSTE24,experimental_pairs
PLEKHH3,AKT3,experimental_pairs
CYB561D1,GLTP,experimental_pairs
NUDT3,CARS,experimental_pairs
KLHL7,MRPL55,experimental_pairs
NR2C1,MICOS13,experimental_pairs
COASY,PRKACA,experimental_pairs
ABHD17C,SYNE1,experimental_pairs
ZNF774,PSMB7,experimental_pairs
ACAD11,ATP5PD,experimental_pairs
NT5C3B,SLC2A4RG,experimental_pairs
PLEKHH3,UBQLN1,experimental_pairs
NCOA5,ASH1L,experimental_pairs
AGPAT1,HHIP-AS1,experimental_pairs
SCARB1,MPDZ,experimental_pairs
LSP1,AP1S2,experimental_pairs
NDUFAF1,RUVBL1,experimental_pairs
EVL,MT-ND4L,experimental_pairs
CNPY3,SEC22B,experimental_pairs
PA2G4,EIF3L,experimental_pairs
SMAD3,ODF2L,experimental_pairs
TMEM184C,PTP4A2,experimental_pairs
XPO7,PLK2,experimental_pairs
PHLDA3,ATP5F1C,experimental_pairs
UQCRC1,ANKRD1,experimental_pairs
PDLIM7,EIF3F,experimental_pairs
PMVK,TRAM2,experimental_pairs
FAIM,NFS1,experimental_pairs
PCMTD2,ADIPOR1,experimental_pairs
UBA5,TGOLN2,experimental_pairs
IQGAP1,EIF4A3,experimental_pairs
DMRTA1,SSR4,experimental_pairs
ARPC2,TSTA3,experimental_pairs
DGCR6L,TRIP10,experimental_pairs
SNAPC5,NAA20,experimental_pairs
REPIN1,UPF2,experimental_pairs
ACTG1,PLP2,experimental_pairs
CDKN2B,IMPDH1,experimental_pairs
TLR4,TJP2,experimental_pairs
LTN1,MRPS33,experimental_pairs
SETD3,KRT19,experimental_pairs
ZNF229,MRPL3,experimental_pairs
ZNF785,PSMD14,experimental_pairs
STAT5A,NETO2,experimental_pairs
HAPLN3,PARK7,experimental_pairs
IBTK,FAM241A,experimental_pairs
KDELR2,MPLKIP,experimental_pairs
LAG3,DYNLL1,experimental_pairs
ACTG1,COTL1,experimental_pairs
NME6,FLNB,experimental_pairs
POLG2,CTR9,experimental_pairs
MICALL2,PIAS3,experimental_pairs
DOCK9,LAMTOR2,experimental_pairs
MRPL3,DDAH1,experimental_pairs
TYRO3,UBE4B,experimental_pairs
TLR4,FAM126A,experimental_pairs
SMIM13,LMNA,experimental_pairs
NCOA5,ACOX1,experimental_pairs
YLPM1,PPCS,experimental_pairs
KLHL7,PSMA7,experimental_pairs
PVR,LGALS1,experimental_pairs
RAP1GDS1,TUBB6,experimental_pairs
SMARCC1,RBBP4,experimental_pairs
IQGAP1,SMAD5,experimental_pairs
RNFT1,S100A6,experimental_pairs
SLC2A6,MT-ND1,experimental_pairs
PECR,PTX3,experimental_pairs
ZNF785,TXNRD2,experimental_pairs
PLTP,LPIN2,experimental_pairs
PARP12,RPS21,experimental_pairs
ACAD11,NPM1,experimental_pairs
NDUFAF1,ATOX1,experimental_pairs
GSTM4,BTF3,experimental_pairs
TMEM167B,RACK1,experimental_pairs
ZNF827,TPM4,experimental_pairs
TRIP12,AVEN,experimental_pairs
SBF2,SBF2,experimental_pairs
TRPC4AP,CGGBP1,experimental_pairs
THBD,PSMA6,experimental_pairs
STAC3,SINHCAF,experimental_pairs
UBA5,TRAPPC2L,experimental_pairs
VPS11,NMT1,experimental_pairs
AKAP12,RAB7A,experimental_pairs
YLPM1,TMSB10,experimental_pairs
DCUN1D5,TMEM30A,experimental_pairs
RPL7L1,NIN,experimental_pairs
VPS11,PTMS,experimental_pairs
SMARCD2,RPL35A,experimental_pairs
VAMP8,FAM241A,experimental_pairs
MIER3,HMGB1,experimental_pairs
MOCS2,PLEKHA3,experimental_pairs
STAT5A,CFDP1,experimental_pairs
GNAS,PITPNB,experimental_pairs
HINT3,HLA-B,experimental_pairs
SFT2D3,RAP1B,experimental_pairs
ZSWIM3,NPM1,experimental_pairs
UBE2D1,STAG2,experimental_pairs
POGZ,EZH1,experimental_pairs
SOX4,ACP1,experimental_pairs
VPS45,PUM1,experimental_pairs
DCUN1D5,COTL1,experimental_pairs
ZNRF1,SNCA,experimental_pairs
SLC22A4,RWDD1,experimental_pairs
ZNF324B,API5,experimental_pairs
TRPC4AP,EIF4G1,experimental_pairs
YES1,HNRNPA0,experimental_pairs
PRKAR1A,IARS,experimental_pairs
HINT3,DHCR7,experimental_pairs
SEC11C,H2AFY,experimental_pairs
TNS2,COA4,experimental_pairs
TRA2A,SERPINB6,experimental_pairs
EHMT2,RPS16,experimental_pairs
ACOT8,RAB22A,experimental_pairs
AP1G1,DYRK4,experimental_pairs
SETD3,ITGA2,experimental_pairs
PCMTD2,TCF4,experimental_pairs
PRKAR1A,SNX14,experimental_pairs
DGKA,PRDM2,experimental_pairs
MYEOV,ZNFX1,experimental_pairs
GPSM3,CHD9,experimental_pairs
CYP2J2,MLLT11,experimental_pairs
BLOC1S3,NAMPT,experimental_pairs
TIMM9,MRPS24,experimental_pairs
DHTKD1,SLC44A1,experimental_pairs
EGR1,BDP1,experimental_pairs
SLC22A4,TCTN1,experimental_pairs
RNF146,CD320,experimental_pairs
DOCK9,TAF11,experimental_pairs
ARPC2,POMP,experimental_pairs
IFI30,SMIM26,experimental_pairs
SLC22A4,RNH1,experimental_pairs
WDR47,USP9X,experimental_pairs
COLGALT1,CDC27,experimental_pairs
RAB1A,RHOJ,experimental_pairs
C1orf54,APTX,experimental_pairs
TSLP,PRKAR2A,experimental_pairs
DHCR24,SLC25A6,experimental_pairs
GPSM3,VPS36,experimental_pairs
MAST3,SRA1,experimental_pairs
RAB13,TXNL1,experimental_pairs
SEC11C,TCAF1,experimental_pairs
AP1G1,IFITM3,experimental_pairs
MMP11,APEX1,experimental_pairs
VPS11,ODC1,experimental_pairs
IFI30,ARL6IP4,experimental_pairs
MALAT1,SNHG8,experimental_pairs
CLIC1,CDC5L,experimental_pairs
MYEOV,PPIA,experimental_pairs
PLTP,SBDS,experimental_pairs
POGZ,NUDC,experimental_pairs
AKAP12,CACUL1,experimental_pairs
TRIB1,CTTN,experimental_pairs
MANEA,SNRPE,experimental_pairs
MGA,RTF2,experimental_pairs
DMRTA1,SMS,experimental_pairs
GNAS,ARPC1A,experimental_pairs
MFSD4B,CALM2,experimental_pairs
MNT,PLSCR4,experimental_pairs
TNFRSF1B,EIF3M,experimental_pairs
RNF146,BASP1,experimental_pairs
OPTN,VPS26A,experimental_pairs
ZSCAN29,RAB11FIP1,experimental_pairs
OPTN,ITGB3BP,experimental_pairs
AGER,TMED10,experimental_pairs
MT1F,KIFAP3,experimental_pairs
UIMC1,RPS3,experimental_pairs
RGS12,CD55,experimental_pairs
ST3GAL4,CYTOR,experimental_pairs
TAOK1,MED31,experimental_pairs
ZNF235,ANXA1,experimental_pairs
GLI2,DPYSL3,experimental_pairs
MFSD4B,IARS,experimental_pairs
SEC61A2,SYF2,experimental_pairs
SHISA4,ATP5F1D,experimental_pairs
WDR47,KMT2C,experimental_pairs
TSLP,MED31,experimental_pairs
SFT2D3,PNRC1,experimental_pairs
TRIP12,G6PD,experimental_pairs
KPNA2,PTMA,experimental_pairs
DTYMK,POLR2F,experimental_pairs
UBA5,CDKN2AIPNL,experimental_pairs
TRIB1,ATP5IF1,experimental_pairs
ATXN7L2,POLDIP2,experimental_pairs
NDUFAF1,NRP1,experimental_pairs
MAP1LC3B2,ATP5PB,experimental_pairs
SIX2,HMGB1,experimental_pairs
FLII,ANXA7,experimental_pairs
KCTD9,SERINC1,experimental_pairs
ZNF22,IMMT,experimental_pairs
ATXN7L2,LIMA1,experimental_pairs
NME6,ALYREF,experimental_pairs
ATP6V0E2,KRT10,experimental_pairs
KPNA2,PSME1,experimental_pairs
ZNF281,WSB1,experimental_pairs
CCRL2,TFAM,experimental_pairs
DDX60L,NME2,experimental_pairs
ATXN7L2,NOP56,experimental_pairs
UIMC1,FAM174C,experimental_pairs
UBA5,MT-ND2,experimental_pairs
ECM1,PTMA,experimental_pairs
MESP1,KTN1,experimental_pairs
KDM6B,UBB,experimental_pairs
RAB5B,PPIA,experimental_pairs
ZNF827,TRAPPC1,experimental_pairs
NFKB2,INSIG1,experimental_pairs
CEP41,DKC1,experimental_pairs
HMGCR,SNRPE,experimental_pairs
MEGF9,PHF20L1,experimental_pairs
ZNF22,CS,experimental_pairs
TRIB1,SH3KBP1,experimental_pairs
TRIB1,METTL8,experimental_pairs
SMUG1,EBNA1BP2,experimental_pairs
P4HA2,ZFP36L2,experimental_pairs
PDP1,ACADM,experimental_pairs
MOCS2,PPP1CA,experimental_pairs
PDP1,ETFB,experimental_pairs
EHMT2,ANP32A,experimental_pairs
CCRL2,SVIL,experimental_pairs
NT5C3B,PABPC4,experimental_pairs
MANEA,PCBD1,experimental_pairs
SFT2D3,PHLDA3,experimental_pairs
PLPP3,SMARCA2,experimental_pairs
KDELR2,SUCLG2,experimental_pairs
ARPC2,BAX,experimental_pairs
PLEKHH3,TRAPPC4,experimental_pairs
TRIP12,ASAH1,experimental_pairs
HEATR5B,RHOC,experimental_pairs
TYRO3,RPL4,experimental_pairs
GCOM1,P4HB,experimental_pairs
EMP2,CD164,experimental_pairs
ECE1,TNFRSF12A,experimental_pairs
ABHD17C,S100A10,experimental_pairs
MEGF9,ATP6V0D1,experimental_pairs
OTUD7B,C4orf3,experimental_pairs
KDELR2,SLC2A4RG,experimental_pairs
ZNF229,ITPR2,experimental_pairs
IRF1,WDR61,experimental_pairs
COG2,NAAA,experimental_pairs
DCUN1D5,TRAPPC1,experimental_pairs
NUFIP2,IL13RA2,experimental_pairs
UIMC1,FDPS,experimental_pairs
ACCS,SRSF2,experimental_pairs
ENSA,POLR2J3,experimental_pairs
NUFIP2,PLAT,experimental_pairs
C1orf54,TOMM7,experimental_pairs
ALKBH3,SCP2,experimental_pairs
C18orf32,ARHGEF10,experimental_pairs
UBE2D1,SNRPF,experimental_pairs
ARL4A,CFAP298,experimental_pairs
INPP5D,CYB5B,experimental_pairs
PHRF1,AKAP11,experimental_pairs
DHODH,SRA1,experimental_pairs
AGPAT4,SDF4,experimental_pairs
IGFBP2,NDUFS6,experimental_pairs
MRPL3,AFDN,experimental_pairs
P4HA2,TMEM160,experimental_pairs
PEX6,TSPAN3,experimental_pairs
ABHD2,USP34,experimental_pairs
POLG,SHISA5,experimental_pairs
NDUFA8,CIRBP,experimental_pairs
NME6,C6orf62,experimental_pairs
TMEM184C,SBDS,experimental_pairs
TYRO3,SNX7,experimental_pairs
MOCS2,ECHS1,experimental_pairs
NCEH1,RPL35A,experimental_pairs
UHRF1BP1,MAP1LC3A,experimental_pairs
PDCD6,WDR70,experimental_pairs
ST3GAL4,UPF2,experimental_pairs
IQGAP1,TOMM7,experimental_pairs
ITGA1,IPO11,experimental_pairs
CALCOCO1,VDAC1,experimental_pairs
LAG3,GATAD1,experimental_pairs
IFI30,BEX3,experimental_pairs
RAPGEF3,FAM216A,experimental_pairs
OS9,PRRC2A,experimental_pairs
GLI2,CORO1C,experimental_pairs
AAGAB,RAD23B,experimental_pairs
NME6,HM13,experimental_pairs
HMGCR,ITGA5,experimental_pairs
PAK2,JPT1,experimental_pairs
TMED10,UQCC3,experimental_pairs
ZNF235,PRXL2A,experimental_pairs
CCDC36,BCAT1,experimental_pairs
NME6,HSPB11,experimental_pairs
BABAM1,AUP1,experimental_pairs
LTN1,APRT,experimental_pairs
TMEM167B,SQSTM1,experimental_pairs
DDX60L,BUB3,experimental_pairs
REST,MARCH3,experimental_pairs
TRAF3IP2,HIF1A,experimental_pairs
ACSS2,SOD1,experimental_pairs
PA2G4,NONO,experimental_pairs
NOS3,MAP7D3,experimental_pairs
POLG,PTEN,experimental_pairs
SIX2,FNBP1L,experimental_pairs
CSDE1,SGK1,experimental_pairs
HSPA13,IMP3,experimental_pairs
RWDD2B,CHM,experimental_pairs
TMUB1,ERP29,experimental_pairs
FZD6,KPNA3,experimental_pairs
PPP3CC,RTN4,experimental_pairs
SEC11C,CAMTA1,experimental_pairs
CLDN1,SARAF,experimental_pairs
SEC11C,KCTD12,experimental_pairs
PCMTD2,BASP1,experimental_pairs
CX3CL1,TENT4B,experimental_pairs
CHUK,MYL6,experimental_pairs
GSTO1,SPG21,experimental_pairs
ARPC2,ROMO1,experimental_pairs
IBTK,PCYOX1,experimental_pairs
THADA,NIFK,experimental_pairs
TMEM9,POLR2A,experimental_pairs
DHCR24,CTSB,experimental_pairs
TRIP12,RABAC1,experimental_pairs
SFT2D3,DUSP22,experimental_pairs
TMEM184C,FLII,experimental_pairs
ZSCAN29,SGMS2,experimental_pairs
INPP5D,CTNND1,experimental_pairs
CDH13,ZNF286A,experimental_pairs
TLR4,PPHLN1,experimental_pairs
UHRF1BP1,RTN3,experimental_pairs
HMGCR,NME2,experimental_pairs
TMEM9,DHTKD1,experimental_pairs
TRAF3IP2,CTNNB1,experimental_pairs
PDLIM7,FER,experimental_pairs
CNPY3,RALA,experimental_pairs
GSTO2,KARS,experimental_pairs
RNF146,RNF170,experimental_pairs
SVIL,CDC37,experimental_pairs
AGAP3,LY96,experimental_pairs
KDM6B,NCL,experimental_pairs
NME6,NME1,experimental_pairs
TRIM47,ERGIC3,experimental_pairs
OPTN,COL6A2,experimental_pairs
TMED10,LAMB1,experimental_pairs
TRAF3IP2,NT5E,experimental_pairs
CALCOCO1,TMEM147,experimental_pairs
FLII,KHSRP,experimental_pairs
SMARCD2,RABGAP1,experimental_pairs
NDUFA8,SNX2,experimental_pairs
QRICH2,COPB1,experimental_pairs
MEGF9,VAMP3,experimental_pairs
ACTG1,PAM,experimental_pairs
KDELR2,ZC3H15,experimental_pairs
AP1G1,SAP18,experimental_pairs
PRKD1,RBM17,experimental_pairs
PRKD1,ADAM10,experimental_pairs
RAB3A,ESYT1,experimental_pairs
CSDE1,YBX3,experimental_pairs
GTF3A,ABI3,experimental_pairs
IQGAP1,DR1,experimental_pairs
TRAF3IP2,NORAD,experimental_pairs
GSS,LYRM4,experimental_pairs
RAP1A,PIN4,experimental_pairs
SOCS5,PRRC2C,experimental_pairs
C1orf54,CALCOCO2,experimental_pairs
ABCG4,TSC22D1,experimental_pairs
CDH13,PRXL2A,experimental_pairs
FYN,NDUFV3,experimental_pairs
GPSM3,ANO10,experimental_pairs
NUDT1,FNDC3A,experimental_pairs
CDCA2,NRDC,experimental_pairs
SLC26A6,MAPKAP1,experimental_pairs
FLII,TPD52L2,experimental_pairs
SLC2A6,MT-CYB,experimental_pairs
MYH11,CAAP1,experimental_pairs
ABHD16A,PRSS23,experimental_pairs
COASY,SEC22B,experimental_pairs
RGS12,PRRC2C,experimental_pairs
TRPC4AP,MAZ,experimental_pairs
ZDHHC18,MIER1,experimental_pairs
CREB1,PSMB3,experimental_pairs
PRR14,SLC25A11,experimental_pairs
ZSWIM3,NUP153,experimental_pairs
RSPO3,RBMS1,experimental_pairs
MMP11,DNAJC7,experimental_pairs
HMGCR,NME1,experimental_pairs
PRKAR1A,JTB,experimental_pairs
POGZ,CPPED1,experimental_pairs
QTRT1,MPST,experimental_pairs
TNFSF10,DELE1,experimental_pairs
HEATR5B,RPL6,experimental_pairs
MFSD4B,SOX7,experimental_pairs
PRR14,SORBS3,experimental_pairs
PECR,MARCKSL1,experimental_pairs
PAK2,KRT18,experimental_pairs
PMAIP1,SPATS2,experimental_pairs
TTC32,ZMAT3,experimental_pairs
CPNE5,KDM5B,experimental_pairs
AGAP3,TAF12,experimental_pairs
