source,target,classification
ARPC2,CDC37,experimental_pairs
POLR2M,YME1L1,experimental_pairs
AP1G1,PVT1,experimental_pairs
GSS,ARPC1B,experimental_pairs
RNFT1,TCEAL8,experimental_pairs
SMARCAD1,TACC2,experimental_pairs
PLBD2,LSM14A,experimental_pairs
MTPAP,MRPL14,experimental_pairs
MFSD4B,P4HA1,experimental_pairs
IBTK,YIPF4,experimental_pairs
ACTG1,NDUFS4,experimental_pairs
OMA1,RAB11FIP1,experimental_pairs
IRF1,PPIG,experimental_pairs
SLC2A11,THBS1,experimental_pairs
C1orf54,C12orf75,experimental_pairs
PARP12,GTPBP4,experimental_pairs
SMARCD2,DYNC1LI2,experimental_pairs
SLC26A6,NAP1L4,experimental_pairs
SH3RF1,HNRNPD,experimental_pairs
YLPM1,RPSA,experimental_pairs
MT1E,MTPN,experimental_pairs
SOCS5,HNRNPF,experimental_pairs
ARPC2,CHCHD3,experimental_pairs
YLPM1,TGS1,experimental_pairs
XPO7,HMGN2,experimental_pairs
FZD6,CLPTM1L,experimental_pairs
TMEM123,TAX1BP1,experimental_pairs
CDKN2B,BCKDHA,experimental_pairs
CLDN1,VPS29,experimental_pairs
NDUFAF1,EXT1,experimental_pairs
GSTO2,TXNL4A,experimental_pairs
ZNF764,HSPD1,experimental_pairs
TRIM47,UQCRQ,experimental_pairs
NCOA5,NUCKS1,experimental_pairs
PVR,AHSA1,experimental_pairs
CX3CL1,SACS,experimental_pairs
FAIM,MORF4L1,experimental_pairs
OPTN,PABPC1,experimental_pairs
PLEKHH3,UBA52,experimental_pairs
TSLP,BRD3,experimental_pairs
FLI1,TSC22D1,experimental_pairs
UGGT1,MLLT11,experimental_pairs
ZNF827,OSTC,experimental_pairs
SOX4,EPB41L4A-AS1,experimental_pairs
XPO7,PHF20L1,experimental_pairs
SH3RF1,HLTF,experimental_pairs
EGR1,CAST,experimental_pairs
CEP41,MT-ND4,experimental_pairs
MIER3,CLEC11A,experimental_pairs
NFKBIL1,LSM3,experimental_pairs
ACAD11,TRAM1,experimental_pairs
ROCK2,TIMM44,experimental_pairs
S100A10,SHOC2,experimental_pairs
TMEM123,SETD5,experimental_pairs
TMEM38A,CREM,experimental_pairs
TRPC4AP,SSR2,experimental_pairs
ZNF774,THBD,experimental_pairs
NDUFAF1,SMAD3,experimental_pairs
MIR762HG,SNRNP27,experimental_pairs
IST1,ANO6,experimental_pairs
SELE,COMMD7,experimental_pairs
ARNT,MGST3,experimental_pairs
MEGF9,PLCB1,experimental_pairs
ARG2,LY96,experimental_pairs
GNAS,ZFPL1,experimental_pairs
TRAF3IP2,NTMT1,experimental_pairs
CDKN2B,JAK1,experimental_pairs
LPIN3,CHCHD5,experimental_pairs
USP25,PNRC1,experimental_pairs
UQCRC1,RSRP1,experimental_pairs
LAPTM4A,S100A10,experimental_pairs
TRIB1,SMIM7,experimental_pairs
S100A10,EPN1,experimental_pairs
NOTCH4,FLNA,experimental_pairs
FAM126A,ECSCR,experimental_pairs
SEC11C,ACYP1,experimental_pairs
GSTO2,MED4,experimental_pairs
OMA1,EGFL7,experimental_pairs
SMAD3,RAI14,experimental_pairs
NUFIP2,TALDO1,experimental_pairs
IFI30,RNASE1,experimental_pairs
KCTD9,CD68,experimental_pairs
REST,EEF1A1,experimental_pairs
SEC11C,PRELID1,experimental_pairs
IFI30,SSRP1,experimental_pairs
RASIP1,PTDSS1,experimental_pairs
ARG2,ATF4,experimental_pairs
FGD6,RPL26L1,experimental_pairs
TLR4,SWAP70,experimental_pairs
IGFBP2,STK24,experimental_pairs
PAK2,CKAP2,experimental_pairs
YLPM1,NUDT21,experimental_pairs
MLEC,C18orf32,experimental_pairs
TBCEL,NDUFB5,experimental_pairs
CCL2,DSTN,experimental_pairs
TMEM222,PDLIM4,experimental_pairs
RWDD2B,CAPN7,experimental_pairs
THADA,YIF1A,experimental_pairs
KDELR2,TSNAX,experimental_pairs
DNALI1,CHIC2,experimental_pairs
SMARCAD1,TRIM38,experimental_pairs
RAPGEF3,GNG5,experimental_pairs
LAG3,CDC42,experimental_pairs
SBF2,AKR1A1,experimental_pairs
ABHD2,MORF4L2,experimental_pairs
PRR14,PGK1,experimental_pairs
KDELR2,MLF2,experimental_pairs
MT1F,TIMM13,experimental_pairs
CUL9,MYL12A,experimental_pairs
SLC2A11,SSBP3,experimental_pairs
POGZ,EBLN3P,experimental_pairs
REPIN1,MAPRE2,experimental_pairs
ST3GAL4,ARPC3,experimental_pairs
AGER,TAOK3,experimental_pairs
PHRF1,ZMYM2,experimental_pairs
SNX13,ZHX1,experimental_pairs
HHAT,ZKSCAN1,experimental_pairs
CCL2,AIMP1,experimental_pairs
MT1F,COA4,experimental_pairs
GRB14,ITPA,experimental_pairs
SIX2,SNRNP70,experimental_pairs
FLII,FAM89B,experimental_pairs
MAP1LC3B2,GOLGA4,experimental_pairs
ENSA,RPS6KA2,experimental_pairs
TTLL11,SUCLA2,experimental_pairs
ZSCAN29,XPC,experimental_pairs
THADA,MVB12A,experimental_pairs
IFI27L2,SETD2,experimental_pairs
SLC2A11,SERPINH1,experimental_pairs
DMRTA1,NAT10,experimental_pairs
ACTG1,ZBTB7A,experimental_pairs
ABHD17C,PRPF8,experimental_pairs
MEGF9,BDP1,experimental_pairs
COG2,GLS,experimental_pairs
CCL2,CD99,experimental_pairs
NME6,RPS18,experimental_pairs
TTBK2,EMD,experimental_pairs
GLI2,PSMA3,experimental_pairs
SOX4,SPRYD7,experimental_pairs
PARP12,HIGD1A,experimental_pairs
STK38,RPL15,experimental_pairs
CYP2J2,APLN,experimental_pairs
FAM126A,SUPT5H,experimental_pairs
THADA,LIPG,experimental_pairs
BABAM1,FAM193A,experimental_pairs
UIMC1,LSM8,experimental_pairs
RNF146,CSTB,experimental_pairs
DAP,TOR1AIP2,experimental_pairs
HSPA13,MMADHC,experimental_pairs
TMEM222,PYURF,experimental_pairs
EVL,JPT1,experimental_pairs
CNPY3,LAPTM4A,experimental_pairs
NOS3,NOP10,experimental_pairs
CSDE1,LGALS1,experimental_pairs
RNF146,APMAP,experimental_pairs
SNX13,UBXN1,experimental_pairs
AAGAB,PSMB5,experimental_pairs
ACOT8,RPL7A,experimental_pairs
ZNF785,IK,experimental_pairs
RBFOX2,RBM33,experimental_pairs
NUB1,COPA,experimental_pairs
DNALI1,NDFIP1,experimental_pairs
PVT1,ITGA5,experimental_pairs
APH1A,PTPRN2,experimental_pairs
SMARCD2,MANF,experimental_pairs
MLH3,CHCHD10,experimental_pairs
ARHGAP26,HNRNPK,experimental_pairs
CUL9,UHMK1,experimental_pairs
LMAN1,VIM,experimental_pairs
NFKB2,FTH1,experimental_pairs
EMP2,CALCOCO2,experimental_pairs
SCARB1,MRPS25,experimental_pairs
XPO7,PROCR,experimental_pairs
CD40,CCDC43,experimental_pairs
NME6,RPL6,experimental_pairs
ECM1,YWHAG,experimental_pairs
NCEH1,TNFRSF1A,experimental_pairs
COASY,APOBEC3C,experimental_pairs
AGPAT4,MIEF1,experimental_pairs
CSDE1,HSPE1,experimental_pairs
CD40,DYRK1A,experimental_pairs
LAG3,SC5D,experimental_pairs
RBFOX2,PEA15,experimental_pairs
DCUN1D5,LSM2,experimental_pairs
RNF146,PCBP1,experimental_pairs
CSDE1,CNRIP1,experimental_pairs
TSLP,EIF1AX,experimental_pairs
NOS3,TGM2,experimental_pairs
ITGB4,PIGT,experimental_pairs
FYCO1,MPC2,experimental_pairs
ZNF774,PTPN1,experimental_pairs
TTBK2,RAB22A,experimental_pairs
IRF1,IER3,experimental_pairs
NOTCH4,INTS3,experimental_pairs
NR2C1,RPS18,experimental_pairs
YLPM1,MALAT1,experimental_pairs
HMGCR,C1QBP,experimental_pairs
DTYMK,EIF4EBP1,experimental_pairs
PHLDA3,TMEM65,experimental_pairs
LPIN3,SNRPA1,experimental_pairs
HMGCR,RPS18,experimental_pairs
YLPM1,LOXL2,experimental_pairs
PVR,UBQLN1,experimental_pairs
TNFRSF14,TIE1,experimental_pairs
PVT1,C6orf62,experimental_pairs
FYCO1,PNP,experimental_pairs
ARHGAP26,FRMD6,experimental_pairs
RWDD2B,USO1,experimental_pairs
SMIM13,ADD1,experimental_pairs
ZNF235,FST,experimental_pairs
CYB561D1,PCBD1,experimental_pairs
DHODH,STRAP,experimental_pairs
ECM1,HDGF,experimental_pairs
ZNF324B,PLAC9,experimental_pairs
GSTM2,MRPL58,experimental_pairs
TRIM68,ANAPC11,experimental_pairs
NUDT3,USP22,experimental_pairs
SMIM13,UGP2,experimental_pairs
TAOK1,HYI,experimental_pairs
B3GNT8,RXYLT1,experimental_pairs
INPP5D,SEPTIN11,experimental_pairs
CHUK,CSNK1E,experimental_pairs
DHTKD1,IQGAP1,experimental_pairs
IRF1,CIRBP,experimental_pairs
FLI1,UBE2I,experimental_pairs
IFI27L2,PSMB6,experimental_pairs
PPP3CC,CRIP1,experimental_pairs
GSTO2,ACAT2,experimental_pairs
RGS12,CIAO1,experimental_pairs
CCRL2,RAD21,experimental_pairs
HMGCR,RPL6,experimental_pairs
TMUB1,VTI1B,experimental_pairs
SMAD3,ZNHIT6,experimental_pairs
CLDN1,LYRM2,experimental_pairs
GNAS,HSPD1,experimental_pairs
HEATR5B,VDAC2,experimental_pairs
NFKB2,MPST,experimental_pairs
PDLIM7,RAB8B,experimental_pairs
PRR14,TMEM258,experimental_pairs
GTF3A,CDKN1A,experimental_pairs
PVT1,KRT19,experimental_pairs
AAGAB,PDCD7,experimental_pairs
KLHL7,ANTXR2,experimental_pairs
SMARCB1,SYT1,experimental_pairs
PHF19,DCBLD2,experimental_pairs
AGTRAP,RPS13,experimental_pairs
DKK1,BTBD2,experimental_pairs
PVR,NPC2,experimental_pairs
TRPC4AP,ROBO4,experimental_pairs
DMXL1,PSMA3,experimental_pairs
HMGCR,RASSF3,experimental_pairs
LAPTM4A,THBS1,experimental_pairs
TMEM123,NOL7,experimental_pairs
ARL4A,EMG1,experimental_pairs
GCOM1,KCNAB1,experimental_pairs
QRICH2,PPP1CB,experimental_pairs
MANEA,MTX2,experimental_pairs
RAB3A,COMMD4,experimental_pairs
PRKAR1A,EMC1,experimental_pairs
OPTN,TNRC6A,experimental_pairs
ITGB4,RPS6,experimental_pairs
DTYMK,RPS24,experimental_pairs
EMP2,MRPS11,experimental_pairs
RASIP1,PFDN5,experimental_pairs
GLI2,PGD,experimental_pairs
PRR14,RBM26,experimental_pairs
ARL4A,KRIT1,experimental_pairs
ABHD17C,TSPAN3,experimental_pairs
AGAP2,PEAK1,experimental_pairs
GCOM1,COA6,experimental_pairs
IFI30,CNOT8,experimental_pairs
ABHD16A,UBE2D3,experimental_pairs
CHUK,UBE2E1,experimental_pairs
IRF1,DDAH2,experimental_pairs
ARPC2,CCS,experimental_pairs
MICALL2,MYO6,experimental_pairs
RAP1GDS1,SH3BGRL,experimental_pairs
ARL4A,SRGN,experimental_pairs
SETD3,TSR3,experimental_pairs
TRIP12,TM9SF1,experimental_pairs
NDUFAF1,ILF2,experimental_pairs
CLDN1,RNF6,experimental_pairs
WDR47,TRAM2,experimental_pairs
XPO7,RPL29,experimental_pairs
TNFSF10,ELOVL6,experimental_pairs
TMUB1,RPL10,experimental_pairs
KDM6B,PLCB1,experimental_pairs
ABHD17C,NLGN1,experimental_pairs
NR2C1,MTDH,experimental_pairs
COASY,TMEM167A,experimental_pairs
HEATR5B,KCNQ1OT1,experimental_pairs
TMUB1,MRPL19,experimental_pairs
ZDHHC18,CHMP2A,experimental_pairs
SMARCB1,GCSH,experimental_pairs
LAG3,DLG1,experimental_pairs
UIMC1,PSAP,experimental_pairs
GNAS,ARHGAP6,experimental_pairs
ABCG4,EEF1A1,experimental_pairs
APH1A,DRG1,experimental_pairs
MFSD4B,NDRG3,experimental_pairs
RAD50,EIF2A,experimental_pairs
MFSD4B,EMC1,experimental_pairs
TMEM115,NDUFA2,experimental_pairs
KALRN,DLC1,experimental_pairs
MLH3,EIF3L,experimental_pairs
RAB13,FADS3,experimental_pairs
EVL,HIF1A,experimental_pairs
AMT,TATDN1,experimental_pairs
RSPO3,PRMT2,experimental_pairs
SLC2A11,MT-CO2,experimental_pairs
TBCEL,NOTCH4,experimental_pairs
PCMTD2,PCBP1,experimental_pairs
TNFSF10,CCNB1IP1,experimental_pairs
IRF3,TOMM6,experimental_pairs
PVT1,NPM1,experimental_pairs
UIMC1,XRCC5,experimental_pairs
UQCRC1,CDC34,experimental_pairs
SPRED3,TIE1,experimental_pairs
GSTM4,NDUFAF3,experimental_pairs
NFKB2,CNOT7,experimental_pairs
IRF1,SUPT6H,experimental_pairs
TRA2A,KIF13A,experimental_pairs
IFI27L2,RIDA,experimental_pairs
ARNT,RNF187,experimental_pairs
MESP1,UVRAG,experimental_pairs
PDLIM2,TGFB1I1,experimental_pairs
MESP1,DYNLL1,experimental_pairs
NEAT1,TPT1,experimental_pairs
SEC11C,WTAP,experimental_pairs
UIMC1,ITGA10,experimental_pairs
LSP1,FDX1,experimental_pairs
THADA,H2AFY,experimental_pairs
GNAS,TCF4,experimental_pairs
AGAP3,TALDO1,experimental_pairs
ATP6V0E2,DCAF7,experimental_pairs
GABARAPL2,RUVBL1,experimental_pairs
NCEH1,ACLY,experimental_pairs
IFIT1,PSMC5,experimental_pairs
ABCG4,ACSL3,experimental_pairs
ITGB4,SAMHD1,experimental_pairs
PVT1,FAM114A1,experimental_pairs
TMUB1,PRPF8,experimental_pairs
NDUFA8,ANXA2,experimental_pairs
NUDT18,EIF2S3,experimental_pairs
HINT3,EIF4A1,experimental_pairs
OMA1,CLIP1,experimental_pairs
SMARCAD1,CD46,experimental_pairs
ACOT8,MAVS,experimental_pairs
FLI1,YWHAB,experimental_pairs
HAPLN3,JUND,experimental_pairs
AGPAT4,ELOC,experimental_pairs
IFI27L2,PDLIM5,experimental_pairs
LTN1,ADAM9,experimental_pairs
MLEC,SHPRH,experimental_pairs
PROX1,ANXA1,experimental_pairs
SCARB1,MIR1915HG,experimental_pairs
SLC2A11,DNAJC4,experimental_pairs
LPIN3,CYSTM1,experimental_pairs
FYN,DYNLRB1,experimental_pairs
DNALI1,C11orf58,experimental_pairs
TMEM222,CTBP2,experimental_pairs
IBTK,SLC35D2,experimental_pairs
AGPAT1,ARSJ,experimental_pairs
CSDE1,CNN3,experimental_pairs
TMEM222,GRN,experimental_pairs
DYNC2LI1,RND3,experimental_pairs
C1orf54,CALR,experimental_pairs
DGCR6L,ATP5MC2,experimental_pairs
QTRT1,MT-ND2,experimental_pairs
CDKN2B,ACAT2,experimental_pairs
COG2,DOCK4,experimental_pairs
CTNND1,CDYL,experimental_pairs
NUDT3,CSNK2B,experimental_pairs
DGKA,EHMT1,experimental_pairs
YLPM1,TMSB4X,experimental_pairs
PRPH2,NUDT16,experimental_pairs
TTC32,TMEM14B,experimental_pairs
HIF1A,APEX1,experimental_pairs
SFT2D3,NSD3,experimental_pairs
MNT,CDK4,experimental_pairs
GNAS,PHF20L1,experimental_pairs
PRR14,C18orf32,experimental_pairs
CSDE1,ANO10,experimental_pairs
QRICH2,SNCG,experimental_pairs
