source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pval
TLR4,hgnc:uniprot:Q9SZF7,hgnc:uniprot.chain:PRO_0000032458,CLU,Activation,DecreaseAmount,DecreaseAmount,0.86,0.86,0.94757,2,2,5,0.5707118,0.000112194295753
TLR4,hgnc:mesh:D017382,hgnc:mesh:D004785,SMIM14,DecreaseAmount,Inhibition,DecreaseAmount,0.86,0.86,0.98,2,2,1,0.64558846,0.0012545603322392
TLR4,RGN,PAX4,CDK17,Complex,Activation,DecreaseAmount,0.86,0.86,0.79,2,2,1,0.85188985,0.0014698554282931
TLR4,FAM83C-AS1,hgnc:mesh:D014810,BABAM1,IncreaseAmount,Activation,IncreaseAmount,0.86,0.951,0.89,2,1,1,0.6603302,0.001851068500924
TLR4,hgnc:uniprot:Q9XZL8,MYOD1,FAM126A,Activation,Activation,DecreaseAmount,0.923,0.9974632504503279,0.95,3,16,2,0.5062674,0.0022267678361429
TLR4,hgnc:uniprot.chain:PRO_0000032458,POU2F1,UQCC2,Inhibition,Activation,DecreaseAmount,0.86,0.923,0.9884,2,3,4,0.37246844,0.0030845056474208
TLR4,RB1,ONECUT1,CBX3,Complex,DecreaseAmount,DecreaseAmount,0.98922,0.79,0.79,5,1,1,0.3455246,0.003632521060653
TLR4,hgnc:mesh:D029424,hgnc:mesh:D014028,MGST1,Activation,Complex,IncreaseAmount,0.98224485,0.95,0.989999,7,191,6,0.23530051,0.0042008221061696
TLR4,hgnc:fplx:CYP,hgnc:chebi:78576,MMADHC,Activation,Activation,DecreaseAmount,0.9824993799855,0.86,0.89,1,1,1,0.45233706,0.0057227095273055
TLR4,hgnc:mesh:D029424,hgnc:mesh:D014028,FLNB,Activation,Complex,DecreaseAmount,0.98224485,0.95,0.89,7,191,1,0.36350057,0.0057422563228962
TLR4,hgnc:uniprot:P27958,NRF1,TMED4,Inhibition,Activation,DecreaseAmount,0.9419,0.957125,0.79,4,3,1,0.5547863,0.0061056369423972
TLR4,DAD1P1,hgnc:chebi:78320,GTF3C6,Activation,Complex,DecreaseAmount,0.9419,0.8775000000000001,0.89,4,1,1,0.38913274,0.0100391044883651
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,RALGAPB,Inhibition,Complex,IncreaseAmount,0.98249981399565,0.86,0.89,13,2,1,0.6363313,0.0111512127577484
TLR4,hgnc:uniprot:Q38710,MDM2,RPS14,Complex,Inhibition,DecreaseAmount,0.979665,0.8775000000000001,0.8775000000000001,5,2,2,0.067101754,0.0114620462074533
TLR4,hgnc:mesh:D051192,POU3F1,PLXNA2,Activation,Activation,DecreaseAmount,0.86,0.86,0.79,2,2,1,0.41343382,0.0117590057020029
TLR4,hgnc:mesh:D009361,HLF,CTSZ,Activation,Activation,IncreaseAmount,0.99755,0.923,0.86,98,3,2,0.13282849,0.0140002634522408
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,CBX1,Inhibition,Complex,DecreaseAmount,0.98249981399565,0.86,0.89,13,2,1,0.43143648,0.0153229120995696
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,ITGA10,Inhibition,Complex,DecreaseAmount,0.98249981399565,0.86,0.89,13,2,1,0.32801464,0.0154332790662397
TLR4,hgnc:uniprot.chain:PRO_0000032458,PPARA,PRKAG1,Inhibition,Inhibition,DecreaseAmount,0.86,0.951,0.95,2,3,2,0.7132045,0.0156636742174034
TLR4,hgnc:mesh:D029424,hgnc:mesh:D014028,TBCD,Activation,Complex,DecreaseAmount,0.98224485,0.95,0.89,7,191,1,0.804834,0.0169505669745818
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,PYGL,Inhibition,Complex,IncreaseAmount,0.98249981399565,0.86,0.89,13,2,1,0.44647825,0.0176295350253571
TLR4,hgnc:uniprot:Q9SZF7,hgnc:uniprot.chain:PRO_0000032458,CDKN1A,Activation,DecreaseAmount,DecreaseAmount,0.86,0.86,0.94757,2,2,5,0.37287983,0.0181808485615789
TLR4,FAM83C-AS1,hgnc:mesh:D014810,PHF20,IncreaseAmount,Activation,DecreaseAmount,0.86,0.951,0.89,2,1,1,0.38777032,0.0182903058439532
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,NCSTN,Inhibition,Complex,IncreaseAmount,0.98249981399565,0.86,0.89,13,2,1,0.6082485,0.018595758414428
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,INSIG1,Inhibition,Complex,IncreaseAmount,0.98249981399565,0.86,0.98,13,2,2,0.33219463,0.0189920504908679
TLR4,hgnc:mesh:D009369,TYMS,ENOSF1,Inhibition,IncreaseAmount,DecreaseAmount,0.9996441375,0.9824993799855,0.8775000000000001,5,9,2,0.510894,0.0200183706984059
TLR4,hgnc:uniprot.chain:PRO_0000032458,ATF4,LEPROTL1,Inhibition,Inhibition,DecreaseAmount,0.86,0.86,0.79,2,2,1,0.36731324,0.0210633500296944
TLR4,hgnc:uniprot.chain:PRO_0000032458,hgnc:uniprot:P27958,KCNN3,Inhibition,Inhibition,IncreaseAmount,0.86,0.86,0.9419,2,2,4,0.44404083,0.021615130300695
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,AP3S1,Inhibition,Complex,IncreaseAmount,0.98249981399565,0.86,0.98,13,2,2,0.41995114,0.0217390699686441
TLR4,hgnc:mesh:D008180,RFX1,PKIG,Activation,DecreaseAmount,DecreaseAmount,0.86,0.86,0.79,2,2,1,0.355778,0.0222701666983094
TLR4,hgnc:mesh:D017382,hgnc:mesh:D015687,LAMA4,DecreaseAmount,Inhibition,DecreaseAmount,0.86,0.86,0.86,2,2,2,0.3172932,0.0223319688779534
TLR4,hgnc:uniprot.chain:PRO_0000032458,TGFB1,ARHGEF3,Inhibition,Dephosphorylation,IncreaseAmount,0.86,0.86,0.86,2,2,2,0.6457791,0.0232699269297122
TLR4,hgnc:mesh:D029424,hgnc:mesh:D014028,PSMA6,Activation,Complex,DecreaseAmount,0.98224485,0.95,0.89,7,191,1,0.32275057,0.0240487688960194
TLR4,hgnc:mesh:D017382,hgnc:mesh:D004785,KDSR,DecreaseAmount,Inhibition,DecreaseAmount,0.86,0.86,0.89,2,2,1,0.45819458,0.0245350480508916
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,CEPT1,Inhibition,Complex,IncreaseAmount,0.98249981399565,0.86,0.89,13,2,1,0.91260034,0.026375122638293
TLR4,hgnc:mesh:D017382,hgnc:mesh:D004785,PTPRF,DecreaseAmount,Inhibition,IncreaseAmount,0.86,0.86,0.89,2,2,1,0.43906593,0.0267707885927341
TLR4,hgnc:fplx:MAPK,hgnc:uniprot:Q6K7E6,GUSB,Activation,Phosphorylation,IncreaseAmount,0.949271,0.86,0.86,2,2,1,0.517699,0.0268997720097125
TLR4,hgnc:uniprot:P04578,MAGEB2,PAXX,Complex,Complex,IncreaseAmount,0.98922,0.86,0.89,5,2,1,0.46400866,0.0275259755638993
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,HERC2,Inhibition,Complex,IncreaseAmount,0.98249981399565,0.86,0.89,13,2,1,0.44172266,0.0282636196676841
TLR4,FAM83C-AS1,hgnc:mesh:D014810,TAX1BP3,IncreaseAmount,Activation,IncreaseAmount,0.86,0.951,0.89,2,1,1,0.4173879,0.0287712111908825
TLR4,FAM83C-AS1,hgnc:mesh:D014810,SELENOW,IncreaseAmount,Activation,IncreaseAmount,0.86,0.951,0.89,2,1,1,0.13767749,0.0290549049021828
TLR4,hgnc:uniprot:P27958,NRF1,ERGIC3,Inhibition,Activation,DecreaseAmount,0.9419,0.957125,0.79,4,3,1,0.2450371,0.0291911507894796
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,UBE2L3,Inhibition,Complex,DecreaseAmount,0.98249981399565,0.86,0.89,13,2,1,0.29157704,0.0302094200621687
TLR4,hgnc:uniprot:P0CW71,hgnc:mesh:D052638,ITGB5,Inhibition,Complex,IncreaseAmount,0.98249981399565,0.86,0.989,13,2,1,0.55829775,0.0305750962620636
