source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pval,evidence_text_hop1,evidence_text_hop2,evidence_text_hop3,pmids_hop1,pmids_hop2,pmids_hop3
PVT1,NOTCH1,KRT8P33,SNHG3,Activation,Inhibition,DecreaseAmount,0.86,0.923,0.98,2,3,2,0.35966596,0.0165266710846795,"1) Taken together , our results demonstrated that PVT1 knockdown could inhibit expression of YAP1 and NOTCH1 signaling activation .

2) Besides , PVT1 activated NOTCH1 signaling through YAP1 , indicating that YAP1 is most likely a NOTCH1 upstream driver gene and we , for the first time , revealed the molecular mechanism of NOTCH1 upregulation in NSCLC .",No evidence found,No evidence found,33650817,,
PVT1,EZH2,INHBB,HUS1,Inhibition,Complex,DecreaseAmount,0.86,0.86,0.89,2,2,1,0.8685188,0.0198213363990675,"1) Li et al. [ xref ] demonstrated that PVT1 can inactivate EZH2 by recruiting it to the promoter region of tumor suppressor gene P57.

2) In glioma cells, the silencing of lncRNA PVT1 inhibits EZH2 which in turn increases caspase 3 and Bax and reduces Bcl-2 and as a result, apoptosis is promoted ( xref ).",No evidence found,No evidence found,35111757; 36195846,,
PVT1,NDRG1,PLAG1,RNASEH1,Complex,Complex,DecreaseAmount,0.94993439,0.9419,0.89,8,4,1,0.444414,0.0215638582059877,"1) The most typical examples of this characteristic event are PVT1–MYC and PVT1–NDRG1 fusions in medulloblastoma.

2) In medulloblastoma, chromothripsis results in a non-coding host gene PVT1 (8q24.21) forming recurrent gene fusions including PVT1-MYC and PVT1-NDRG1 [ xref ].

3) Recurrent translocations of PVT1 , including PVT1-MYC and PVT1-NDRG1 , arising via chromothripsis (large-scale genomic rearrangements occurring in a single event in confined genomic regions in one or a few chromosomes) were restricted to group 3 MBs.

4) For example, recurrent translocations of PVT1-MYC or PVT1-NDRG1 were identified in a large study on medulloblastoma, the most malignant brain tumor in children ( xref ), or genomic amplifications of MYC/PVT1 in pediatric gliomas ( xref ).

5) Recurrent translocations of PVT1 that arise through chromothripsis, such as PVT1-MYC and PVT1-NDRG1, often occur in malignant tumor xref .

6) PVT1 was also shown to be linked with NDRG1, thereby forming the gene fusion PVT1-NDRG1.

7) Examples of this characteristic event are PVT1-MYC and PVT1-NDRG1 fusions in medulloblastoma [ xref ], and NDUFAF2-MAST4 in prostate cancer cell lines [ xref ].

8) Additional PVT1 -associated fusion events have since been reported in Group 3, including PVT1-NDRG1 , PVT1-LINC00964 , PVT1-ZCH3 , and others  xref  .","1) NDRG1-PLAG1  and  TRPS1-PLAG1  Fusion Genes in Chondroid Syringoma.

2) An NDRG1-PLAG1 transcript was found in the first tumor in which exon 3 of PLAG1 was fused with exon 1 of NDRG1.

3) The NDRG1-PLAG1 and TRPS1-PLAG1 resemble other PLAG1 fusion genes inasmuch as the expression of PLAG1 comes under the control of the NDRG1 or TRPS1 promoter.

4) Although NDRG1::PLAG1 and TRPS1::PLAG1 fusions have been described in cutaneous cases [ xref ], another study did not detect the fusions found in the salivary gland in cutaneous cases, suggesting different gene rearrangements or mechanisms [ xref ].",1) Table 3. Identification of genes consistently and significantly repressed by PLAG1,31007851; 31763623; 31781490; 31819232; 32117705; 32201527; 33168103; 33557176,32345665; 35158743,14712223
PVT1,FOXM1,MIR6865,RPS17,Complex,Inhibition,DecreaseAmount,0.98249999954801,0.949271,0.89,18,6,1,0.0796451,0.0220915229480133,"1) Thus, high expression of FOXM1 and PVT1 form a positive feedback loop that promotes gastric cancer proliferation and metastasis [ xref ]. (Figure xref ).

2) Xu et al. xref found that PVT1 interacted with FOXM1 and promoted expression of FOXM1 protein in GC cells.

3) PVT1 directly binds to the FOXM1 protein and upregulates FOXM1 after its translation.

4) For example, lncRNA PVT1 could directly bind FOXM1 protein and increased FOXM1 pasttranslationally leading to cell proliferation and invasion in vitro and in vivo ( xref ).

5) Yi et al. [ xref ] reported that PVT1 could directly bind to FOXM1 to stabilize its expression or promote FOXM1 expression by binding to miR-370 through a sponging effect, ultimately leading to OC progression and chemotherapy resistance (Fig.  xref J).

6) However, protein–RNA immunoprecipitation assays confirmed that PVT1 directly bind FOXM1 protein in gastric cancer cells with no significant change in the protein level of EZH2 ( xref ).

7) Interestingly, the lncRNA PVT1 can bind to FOXM1 protein and elevate its levels by reducing its degradation and enhancing its stability, subsequently promoting the proliferation and invasion of gastric cancer cells [ xref ].

8) PVT1 could interact with FOXM1 directly and increase its protein expression in gastric cancer and increased glucose uptake, lactate production, and the expression of HK2 in osteosarcoma cancer.

9) PVT1 directly binds to FOXM1 and enhances its stability, and FOXM1 in turn initiates PVT1 expression through binding to the PVT1 promoter, thus forming a feedback loop between PVT1 and FOXM1 that plays a critical role in promoting gastric cancer cell proliferation and invasion ( xref ).

10) Using RNA-protein pull-down assay it has been shown that PVT1 directly binds to FOXM1 protein and inhibits its degradation in gastric cells cells ( xref ).

11) In addition, FOXM1 binds to PVT1 promoter and activates its transcription.

12) For example, lncRNA loc285194 can interact with p53 gene and act as a tumor suppressor [ xref ]; lncRNA PVT1 interacts with FOXM1 protein and promotes gastric cancer progression [ xref ].

13) PVT1 directly binds to FOXM1 protein to increase its stability, enhancing gastric cancer cell proliferation and invasion [ xref ].

14) Protein-RNA immunoprecipitation assays were conducted to examine the interaction of FOXM1 and  PVT1  Chromatin immunoprecipitation (ChIP) and luciferase analyses were utilized to identify the binding site of FOXM1 on the  PVT1  promoter.

15) PVT1  enhanced gastric cancer cell proliferation and invasion  in vitro  and  in vivo PVT1  directly bound FOXM1 protein and increased FOXM1 posttranslationally.

16) Moreover,  PVT1  is also a FOXM1-responsive lncRNA, and FOXM1 directly binds to the  PVT1  promoter to activate its transcription.

17) In gastric cancer, FOXM1 can bind to the promoter region of PVT1 and enhance its transcription [ xref ].",No evidence found,No evidence found,27756785; 28584182; 29113415; 29187891; 29244840; 29970131; 30083911; 30208972; 31497532; 31856716; 32025363; 32117705; 33769145; 36195846,,
PVT1,TP53,MAGEB2,AGPAT5,Complex,Activation,DecreaseAmount,0.923,0.923,0.89,3,3,1,0.38035884,0.0221258558865076,"1) Interestingly, the binding of p53 to the first intron of the PVT1 induces lncRNAs and miR-1204 expression.

2) P53 binds to lncRNA PVT1 and inhibits its expression in vitro.

3) Furthermore, the RIP assay revealed an interaction between lncRNA PVT1 and p53 in U373 cells ( xref ).

1) However, PVT1 was not directly bound to MDM2 or P53 (Additional file xref : Figure S1).

1) On the contrary, PVT1 interacts with both p53 and tissue inhibitor of matrix metalloproteinase (TIMP), to achieve the antineoplastic action of carboplatin and docetaxel [ xref ].

1) Dual luciferase reporter assay was used to assess whether miR-214 bound to PVT1, TP53 or TFR1.",No evidence found,No evidence found,30008615; 32106407; 32827544; 35275031,,
PVT1,HIF1A,MYT1,SLC39A10,Complex,Complex,IncreaseAmount,0.94757,0.991866,0.86,5,6,2,0.38265717,0.0259414215297426,"1) Here, we report that PVT1 binds to the HIF-1α promoter and activates its transcription.

2) In addition, we found that PVT1 could bind to HIF-1α and increases HIF-1α post-translationally.

3) PVT1 is highly expressed in lung cancer and cell lines, and the expression of PVT1 is regulated by HIF-1α, and the luciferase reporter assay and CHIP-qPCR analysis indicated that HIF-1α could bind to the promoter region of PVT1 and regulate PVT1 expression.

4) We validated the four HREs in A549 and SK-MES-1 cells with ChIP-qPCR under hypoxia conditions, as shown in Fig. xref , HIF-1α could bind to the HRE sites of PVT1 promoter.

5) And hypoxia conditions could promote PVT1 expression via HIF-1α binding to the HREs of the PVT1 promoter region.","1) MTF1 may also interact with HIF1alpha and contribute to HIF1alpha activation during hypoxia.

2) Coimmunoprecipitation studies suggest interaction between MTF-1 and HIF-1alpha, either directly or as mediated by other factors.

3) Coimmunoprecipitation studies suggest interaction between MTF-1 and HIF-1alpha, either directly or as mediated by other factors.

4) Other studies have shown that MTF1 and HIF-1alpha may associate to form a transcriptional complex to mediate hypoxia induced expression of metallothione-1 gene [XREF_BIBR].

5) However, coimmunoprecipitation experiments did not suggest direct interaction between MTF-1 and HIF-1alpha.

6) However, coimmunoprecipitation experiments did not suggest direct interaction between MTF-1 and HIF-1α.","1) However, the inhibition of Slc39a10 expression by MTF-1 may well be more complex than a competition for promoter binding.

2) Furthermore, zinc activated MTF-1 causes down-regulation of Zip10 transcription by physically blocking Pol II movement through the gene.",34245303; 35256612,18337454; 18956243; 19712973; 22087877,16221973; 21738690
PVT1,MYC,NRF1,HNRNPAB,Inhibition,Complex,DecreaseAmount,0.98922,0.923,0.79,5,3,1,0.25725704,0.0309024581691499,"1) The model of promoter competition raises the hypothesis that PVT1 promoter specifically inhibits MYC promoter firing.

2) Previous studies have shown that PVT1 inhibits MYC by competing promoter enhancer interactions during development( xref ).","1) Finally, c-myc is associated with the expression of certain NRF-1 target genes [ xref ] and myc null fibroblasts are deficient in mitochondrial content [ xref ].

2) Mitochondrial biogenesis mediated via c-myc is thought to be regulated by NRF1 gene targets  xref  , as we failed to find evidence of NRF1 involvement we believe that NRF1-c-myc do not control mitochondrial biogenesis through DNA damage.

3) Upon further examination, we find that that the MYC-NRF1 FFL relationships were mostly coherent, i.e., amplifying in nature (see Supplementary section  xref ).

1) PDS competed with human NRF1 binding to Myc G4 DNA with an IC  50 value of 0.18 ± 0.03 μM, which is in agreement with the previously determined G4 binding affinity for PDS [ xref ] (Fig.  xref a).",No evidence found,29731168; 36715552,20933024; 32728046; 33892767; 34099719,
PVT1,NOTCH1,KRT8P33,RACK1,Activation,Inhibition,IncreaseAmount,0.86,0.923,0.89,2,3,1,0.08123074,0.0313117450422666,"1) Taken together , our results demonstrated that PVT1 knockdown could inhibit expression of YAP1 and NOTCH1 signaling activation .

2) Besides , PVT1 activated NOTCH1 signaling through YAP1 , indicating that YAP1 is most likely a NOTCH1 upstream driver gene and we , for the first time , revealed the molecular mechanism of NOTCH1 upregulation in NSCLC .",No evidence found,No evidence found,33650817,,
PVT1,FOXO3,MEF2A,NPM3,Complex,Activation,DecreaseAmount,0.8775,0.9419,0.79,2,4,1,0.3269757,0.0315793923641221,"1) Hypermethylation-mediated downregulation of lncRNA PVT1 promotes granulosa cell apoptosis in premature ovarian insufficiency via interacting with Foxo3a.

2) We determined that PVT1 could bind with Foxo3a and that downregulating PVT1 by small interfering RNAs inhibited Foxo3a phosphorylation by promoting SCP4-mediated Foxo3a dephosphorylation, resulting in an increase in Foxo3a transcription activity.","1) Therefore, we determined the potential role of FOXO3 on apoptosis and on H cordata induced MEF2A in HepG2 cells.

2) H cordata Mediated FOXO3 Expression Upregulates MEF2A and Activates Apoptosis Associated Caspases.

3) As shown in XREF_FIG, FOXO3 silencing significantly reduced MEF2A, caspase-3, and caspase-7.

4) Furthermore, activation of the transcription factor FOXO3 causes MEF2A to induce the activation of casapse-3, caspase-7, and Bax, in addition to disturbing the expression of Bcl-2 family proteins, which are critical mediators of apoptosis in HepG2 cells (XREF_FIG, XREF_FIG).",No evidence found,33393111,27698266,
PVT1,NOTCH1,RFX1,IL27RA,Activation,Complex,DecreaseAmount,0.86,0.98,0.79,2,1,1,0.76531565,0.0333428936439183,"1) Taken together , our results demonstrated that PVT1 knockdown could inhibit expression of YAP1 and NOTCH1 signaling activation .

2) Besides , PVT1 activated NOTCH1 signaling through YAP1 , indicating that YAP1 is most likely a NOTCH1 upstream driver gene and we , for the first time , revealed the molecular mechanism of NOTCH1 upregulation in NSCLC .",Evidence from: biogrid,No evidence found,33650817,23022380,
