source,intermediate_1,intermediate_2,target,stmt_type_1,stmt_type_2,stmt_type_3,belief_1,belief_2,belief_3,evidence_1,evidence_2,evidence_3,logfoldchange,pval,evidence_text_hop1,evidence_text_hop2,evidence_text_hop3,pmids_hop1,pmids_hop2,pmids_hop3
GTF3A,BCL2,MIR4421,ERI3,DecreaseAmount,Activation,IncreaseAmount,0.79,0.923,0.89,1,3,1,0.6828474,0.001225402076641,Evidence from: biopax:msigdb,No evidence found,No evidence found,,,
GTF3A,POU5F1,POU2F1,UQCC2,DecreaseAmount,Complex,DecreaseAmount,0.79,0.86,0.9884,1,2,4,0.38151827,0.0016229393935723,Evidence from: biopax:msigdb,"1) For example, the inducible nitric oxide synthase (iNOS) is expressed only in response to immune stimulation and depends on a crucial Oct site that constitutively binds Oct-1 for transcription  [64,65] .

2) Oct-1 acted as a transactivator of the TR β 1 promoter ( Fig. 5 A and 5B), and Oct-1 protein in adult brain bound to the octamer binding site more strongly than did proteins from fetal brain ( Fig. 4 A).

3) We now show that Oct-1 binds the octamer motifs within footprints 2 and 4.

4) These results show that the octamer site binds an Oct-1 related protein.

5) Oct-1 does not bind to the octamer motif associated with certain Xenopus laevis histone H2B gene promoters, whereas Oct-R binds well to this motif, but only in the sequence context of the H2B gene promoter.

6) Although we also observed an increase in Oct-2 mRNA and protein expression in RAW264.7 cells treated with LPS (supplemental Figure 2), IL-4 inhibition of the Nos2 gene was not due to the down-regulation of Oct-1 or Oct-2 expression: EMSA showed that, although octamer binding activities, which are mainly due to Oct-1 and a small amount of Oct-2, were observed in RAW264.7 cell nuclear extracts, IL-4 had no effect on the observed octamer biding activity ( xref ).

7) In an electrophoretic mobility shift assay (EMSA), both naturally and bacterially expressed Oct-1 and Oct-4 formed monomers and dimers on the PitD site ( Figure 1B ).

8) Compared to the original motif, the resulted sequence (MORE) mediated assembly of more stable Oct-1 and Oct-4 homodimers and a heterodimer between these two Oct factors ( Figure 1B ).

9) In parental P19 cells,
binding activities of Oct-1 and Oct-3 are almost equal.

10) Three octamer-related motifs that bind recombinant Oct-1 transcription factor in vitro exist in this segment of DNA.

11) Oct-1 binds the essential octamer site in the H2B promoter throughout the interphase; however, OCA-S occupies the H2B promoter only in the S phase [ xref ].

12) The Oct-1 protein binds to the octamer motif present in  the
control regions of a variety of genes such as the immunoglobulins,
histone H2B and snRNAs.

13) The octamer site binds both the constitutively expressed transcription factor Oct-1 and a novel cervical octamer binding protein.

14) Under cell-free con-  ditions binding of the
purified hormone receptors to  the HREs facilitates the interaction of
purified OTF1  with the octamer motifs [14, 16].

15) Our new
studies confirm the basic observation that  the effect of PR on cell-
free transcription of MMTV is  at least partly mediated by binding of
OTF1 to the  octamer motifs in the MMTV promoter [14].

16) When the
amount of DNA fragment was  reduced and its concentration was
limiting, we detected  a ternary complex containing a dimer of NFI and
a  monomer of OTF1 probably bound to the promoter  proximal octamer
motif.

17) Among these genes, the binding of Oct-1 to the octamer motif stimulated the transcription of the immunoglobulin gene  [26] and the histone H2B gene  [27] .

18) While Oct-1 binds equally well to the VP16-B-responsive and -nonresponsive sites, VP16-B interacts with Oct-1 only when Oct-1 is bound to the BHV octamer site and not when it is bound to the HSV site.

19) In electrophoretic mobility shift assays (EMSAs), we showed that this region (-106/-56) of the gadd45 promoter which contains two identical octamers, binds the POU family gene products oct-1 and N-oct3.

20) Here, we have shown that Oct-1 and N Oct-3 bind differently to three neuronal promoters.

21) As shown in , our results indicate that Oct-1 DBD cannot form a heterodimer with N Oct-3 DBD.

22) Interestingly, the sulfhydryl groups in the DNA
binding domain of Oct-1  were shown to be important for the normal
binding of Oct-1 with its octamer DNA binding  site (22).

23) In addition, Kim et al. recently demonstrated that Oct-1 binds to octamer motifs within the RHS6 sequence [ xref ].

24) As indicated  (Figure 8B) , p38/GAPDH and Oct-1 bound to promoter fragments in an octamer-dependent manner, whereas NF-YA bound to promoter fragments in a CAAT-box-dependent manner, and little or no cooperative binding was observed.

25) Collectively, these data suggest that Oct-1 is binding to the octamer motif in the MOR gene and negatively modulating MOR gene expression.

26) The ubiquitous transcription factor Oct-1 forms complexes with an octamer motif present within FPIV by gel shift analysis with liver and kidney extracts, making Oct-1 an intriguing candidate for partnership in androgen regulation.

27) We show that the U1b octamer binds the octamer-binding protein Oct-1 with higher affinity than does the U1a octamer in both U1b-expressing and -non-expressing cell lines and tissues.

28) Sturm
R. A., Das G. and Herr W. (1988) The ubiquitous    octamer binding-
protein Oct-1 contains a POL) domain with  a homeo box subdomain.

29) Hence, as in vitro,  xref  an Oct-1-p38/GAPDH interaction in vivo serves as a redox target that determines H2B transcriptional outputs; that the recruitment of a general transcription factor TFIIB, or Oct-1, to the H2B promoter was not affected ( xref ) suggests that the assembly of the H2B gene basal transcription machinery, or an Oct-1-octamer interaction, is not redox-modulated in vivo.

30) Using biotin-streptavidin pull-down assays, we confirmed Oct-1 binding to the two octamer motifs in the hPTTG1 promoter (-1669/-1631 and -1401/-1361).

1) In vitro evaluation of sequence upstream of the start sites shows that the P2 start site is sufficient for CD45 expression in lymphoid but not in myeloid cells, confirms the presence of a PU.1-binding site essential for myeloid expression of CD45, and reveals an Octamer-binding site that interacts with both Oct-1 and Oct-2 and activates CD45 transcription in lymphoid and myeloid cells.

2) In peripheral T lymphocytes and several T cell lines, both the ubiquitous octamer binding protein Oct-1 and the lymphocyte-specific factor Oct-2 are expressed and bind to two octamer-binding sites within the IL-2 promoter  [62] .

3) As expected, wild-type Oct-1 and Oct-2 proteins selectively bound to wild-type octamer probe with >25-fold higher affinity than the Oct-1 RR  and Oct-2 RR  proteins ( Figure 2A , compare lanes 2 and 3 and lanes 4 and 5).

4) Oct-1, N-Oct-2 and N-Oct-3 bound the AAATAATGC sequence that overlaps the HNF-3 binding site.

5) Both kinase and phosphatase activity are important for regulating the DNA binding activity of Oct-1 and Oct-2 because, in the presence of phosphatase inhibitors, protein kinase A attenuates the binding of both Oct-1 and Oct-2 to the octamer binding site but enhances binding when phosphatase inhibitors are omitted.

6) We find that, although the variant octamer motif binds Oct-1 and Oct-2 in vitro with 5-fold lower affinity than the consensus octamer motif, mutation of the variant octamer motif to either a consensus octamer or non-octamer motif has no effect on transcriptional activation from the germline promoter.

7) This coactivator synergistically interacts with Oct-1 and Oct-2 monomers bound to the octamer motif ( Luo et al. 1992; Gstaiger et al. 1995; Luo and Roeder 1995; Strubin et al. 1995 ).

8) By in vitro binding studies, we have demonstrated that the HS7 sites B and C specifically bind the octamer proteins Oct-1 and Oct-2.

9) Binding and activity
of PTF are  markedly enhanced by the binding of Oct-1 or Oct-2 to an
adjacent  octamer motif.

10) The activity, termed OCA-B (for Oct
coactivator from B cells), did not appear to interact directly with
DNA, but functioned through Oct-1 or Oct-2 bound to the octamer site.

11) In vitro experiments have shown Oct-1 and Oct-2 proteins binding with many octamer-related binding sites and with TAAT-core-containing homeospecific sequences  [15–19] .

12) mBob1 interacts with the octamer transcription factors Oct-1 and Oct-2 and stimulates transcription mediated by these factors.

13) A B-cell
specific transcriptional co-activator OCA-B (also named OBF-1 or Bobl)
does not bind DNA directly, but enhances promoter activity via
interactions with Oct-1 or Oct-2 that are bound to the octamer motif.

14) 41,42  Hence, herein, the specificities of Oct-1 and Oct-2 binding to the octamer binding site within the PrmIP were investigated by examining the effect of heterologous overexpression of hemagglutinin (HA)-tagged forms of Oct-1 and Oct-2 on luciferase reporter expression.

1) However, the addition of transcription factor IIB (TFIIB) enhanced 12-fold the binding of recombinant Oct-1 protein to the lipoprotein lipase octamer site  (Yang et al., 1995) , while in whole nuclear extracts, no Oct-1 binding activity was observed, possibly due to the presence of other nuclear factors.

2) Our data show that there is Oct-1 binding to lipoprotein lipase octamer site in whole nuclear extracts from THP-1 cells, which does not increase with the treatment, probably due to the lack of stimulation of TFIIB DNA binding required for the increase of lipoprotein lipase.

1) The activity of the H2B octamer motif in embryos is not specifically associated with increased binding by Oct-1 or the appearance of novel octamer-binding proteins but requires the presence of an intact CCAAT motif.

2) In this respect, it is interesting to note that our binding data suggests higher levels of Oct-1 binding to H2B octamer motif for undifferentiated P19 cells than differentiated cells ( xref ).

1) It is possible that conditions in our EMSA assay were favorable for the binding of an extra OBF-1 or Oct-1 molecule to the complex with the Vκ octamer.

2) An EMSA assay also indicated that OCA-B cannot bind with Oct-1 to a mutated octamer DNA probe, relative to a wild type octamer DNA probe, to form a ternary complex (data not shown).

1) The octamer and the PSE bind the POU domain activator Oct-1 and the basal transcription factor SNAPc, respectively.

1) These results suggested that Oct-1 would not bind directly to the m-Oct CRP promoter that we used in the Luc assays.

1) Fx formed complexes with either Oct-1 or Oct-3 in a template-dependent manner.

1) In this study, we demonstrate that C-terminal binding protein 2 (CtBP2), a critical transcriptional co-repressor harboring pyridine nucleotide sensing capability, orchestrates the EMT program at least in part through a novel transcriptional interaction with an octamer transcription factor, OCT1 (POU2F1, POU class 2 homeobox 1).

1) Sox2 can form a ternary complex with either the ubiquitous Oct-1 or the embryonic-specific Oct-3 protein on FGF-4 enhancer DNA sequences.

1) Only Oct-1 or Oct-1 complex was able to bind to this octamer binding site in COS 1 cells ( Fig. 4 B), indicating that Oct-1 is important in activating the TR β 1 promoter.",Evidence from: biopax:msigdb,,10591177; 11136971; 11704867; 12144930; 12887926; 1406629; 15178247; 16061936; 16243786; 16616894; 16911870; 17936731; 18550719; 1872807; 19118563; 19221488; 2017364; 2107024; 21549311; 22750226; 24459328; 26840450; 27063953; 29212286; 31866012; 7590241; 7659085; 7711063; 7947347; 7969117; 8084335; 8336708; 8352967; 8383834; 8645173; 8725937; 8725939; 8754841; 8858915; 8868069; 8972869; 9220031; 9489510; 9537509; 9544983; 9598983; 9602135; 9832505,
GTF3A,POU5F1,POU3F1,LSM 12.00,DecreaseAmount,Complex,DecreaseAmount,0.79,0.99614986359681,0.79,1,14,1,0.51513267,0.0020224891487143,Evidence from: biopax:msigdb,"1) Oct6 and Oct4 can form homodimers on the MORE sequence XREF_BIBR).

2) Oct6 and Oct4 can form homodimers on the MORE sequence  xref ).

3) Analysis of in vivo biotinylated ZIC2, OTX2, SOX2, POU5F1 and POU3F1 binding in EpiSCs identified several new features.

4) Subsequently, Oct-1 and Oct-2, Oct-1 and Oct-4, Oct-1 and Oct-6, and Oct-4 and Oct-6 heterodimers can be formed on the MORE.

5) Rex-1, a gene encoding a transcription factor expressed in the early embryo, is regulated via Oct-3/4 and Oct-6 binding to an octamer site and a novel protein, Rox-1, binding to an adjacent site.

6) To characterize binding events of OCT4 and OCT6, we next performed chromatin immunoprecipitation followed by high-throughput sequencing [chromatin immunoprecipitation sequencing (ChIP-seq)] for FLAG in O4 FLAG SKM-transduced cells (day 2), O6 FLAG SKM-transduced cells (day 2), and O6 FLAG SKM-transduced cells (day 8).

7) We tested the reprogramming capability of our OCT6-OCT4 chimeras in murine reprogramming.

8) However, when the reprogramming competences of Oct6-Oct4 domain-swapped chimeras were tested, the chimeric proteins (O466 and O664) in which either N- or C-TADs of Oct4 was introduced into the corresponding site of Oct6 did not acquire reprogramming activity  xref  .

9) We next tested Oct-6 DNA-binding activity with EMSAs using an oligonucleotide that contains an octamer consensus motif.

10) Our DNA binding studies suggest that homodimer formation, by both Oct6 and Oct4, is favoured on MORE motifs, relative to PORE motifs.

11) To study the differential binding preferences of POU TFs in vitro , we performed quantitative electrophoretic mobility shift assays (EMSAs) using purified POU domains and compared binding of the Oct4 POU and the Oct6 POU to MORE DNA (Fig xref D).

12) We therefore tested whether the Oct6 and Oct4 POU domains assemble with MORE and SoxOct DNA with a different dissociation kinetics using competition EMSAs.

13) To investigate the structural basis of the observed differences, classical molecular dynamics simulations were performed demonstrating that both Oct4 and Oct6 homodimers stably bound the MORE DNA during several hundred ns‐simulated timescale.

14) We thus surmise that the differential association of Oct6 and Oct4 with SoxOct versus MORE DNA element not only affects which genomic loci are targeted, but also which set of cofactors is recruited and how the expression of nearby genes is regulated.

1) In addition to Oct1 homodimers, heterodimers with Oct2, Oct4 or Oct6 can assemble cooperatively on multimeric sequences in vitro [ xref – xref ].

1) Indeed, we and others have recently revealed that Nkx3.1 and Oct6 can directly bind to regulatory regions of Oct4 to regulate its expression xref , xref .",No evidence found,,11136971; 11529429; 20687925; 26265007; 26877236; 27915232; 28007765; 28455373; 34117345,
GTF3A,RELB,LEF1,YWHAH,DecreaseAmount,Complex,DecreaseAmount,0.95,0.86,0.79,2,2,1,0.36497214,0.0023943500541146,Evidence from: biopax:msigdb,"1) This could be achieved by selective association of RelB with p52, which results in a complex with low affinity to IκBα, by a post-translational modification of RelB or by interaction of RelB with a lymphoid-specific cofactor  [10,15,16] .

2) Whereas the p65/RelA protein is involved in inducible kappa B-dependent transcription, RelB is associated with constitutive activity in lymphoid cells.",Evidence from: biopax:msigdb,,10959078; 8076601,
GTF3A,BCL2,PSG11,RBM28,DecreaseAmount,Inhibition,IncreaseAmount,0.79,0.94757,0.89,1,5,1,0.611441,0.0037869704388746,Evidence from: biopax:msigdb,No evidence found,No evidence found,,,
GTF3A,POU2F1,RARA,RARS,DecreaseAmount,Complex,IncreaseAmount,0.79,0.99999351581922,0.86,1,12,1,0.526423,0.0045101713109105,Evidence from: biopax:msigdb,"1) Using expression quantification, chromatin immunoprecipitation (ChIP), and reporter gene assays, we demonstrate that POU2F1 and RARA do bind upstream of the RPTOR gene to regulate its expression in response to retinoids; this regulation is affected by the allele status at rs11868112 with the derived allele resulting in lower expression levels.

2) Binding of RARA and POU2F1 to the rs11868112 region.

3) Overall, our findings indicate that RARA and POU2F1 bind to the region adjacent to and encompassing rs11868112, respectively, suggesting that this region acts as a cis-regulatory module with POU2F1 and RARA binding elements.

4) To test whether POU2F1 and RARA binding to this module elicits cis-regulatory effects dependent on the allele status of rs11868112, we performed luciferase reporter gene assays with the cloned regions of the ancestral and the derived allele.

5) Using expression quantification, chromatin immunoprecipitation (ChIP), and reporter gene assays, we demonstrate that POU2F1 and RARA do bind upstream of the RPTOR gene to regulate its expression in response to retinoids; this regulation is affected by the allele status at rs11868112 with the derived allele resulting in lower expression levels.

6) Binding of RARA and POU2F1 to the rs11868112 region.

7) To investigate the role of SNP rs11868112 in the regulation of RPTOR expression, we performed ChIP assays followed by quantitative PCR to determine whether RARA and/or POU2F1 bind the DNA near the SNP.

8) Overall, our findings indicate that RARA and POU2F1 bind to the region adjacent to and encompassing rs11868112, respectively, suggesting that this region acts as a cis -regulatory module with POU2F1 and RARA-binding elements.

9) To test whether POU2F1 and RARA binding to this module elicits cis -regulatory effects dependent on the allele status of rs11868112, we performed luciferase reporter gene assays with the cloned regions of the ancestral and the derived allele.

10) Consistent with this hypothesis, we showed that POU2F1 and RARA do bind to the genomic region spanning and near SNP rs11868112, respectively.",No evidence found,,10480874; 21060808,
GTF3A,POU5F1,POU1F1,MRPL17,DecreaseAmount,Complex,DecreaseAmount,0.79,0.98,0.79,1,1,1,0.40088198,0.0046335009566292,Evidence from: biopax:msigdb,Evidence from: biogrid,Evidence from: biopax:msigdb,,26687479,
GTF3A,NRF1,FOXO4,ATP5MD,DecreaseAmount,DecreaseAmount,DecreaseAmount,0.982,0.95,0.79,3,2,1,0.15636897,0.0049443904124522,Evidence from: biopax:msigdb,Evidence from: biopax:msigdb,No evidence found,,,
GTF3A,REV3L,MEF2A,ATP5ME,DecreaseAmount,Complex,DecreaseAmount,0.79,0.98,0.79,1,1,1,0.21354839,0.007779776635851,Evidence from: biopax:msigdb,Evidence from: biogrid,Evidence from: biopax:msigdb,,25609649,
GTF3A,BCL2,XIAP,SSB,DecreaseAmount,Complex,IncreaseAmount,0.79,0.86,0.89,1,2,1,0.36927974,0.0078894755443736,Evidence from: biopax:msigdb,"1) GSI treatment reduced endogenous survivin levels in MDA-MB-231 cells, and this was associated with parallel suppression of Bcl-2 and XIAP ( xref ).

2) LY294002 and vincristine were shown to synergistically promote growth inhibition, which was associated with decreased expression of MDR1/P-gp, Bcl-2, and XIAP, as well as with upregulation of Bax and caspase-3 expression [ xref ].

3) The anticancer activities of morin associated with Bcl-2 and X-IAP family members have been previously published [ xref ].

4) The pro-apoptotic ARTS (Sept4_i2) protein binds directly to both Bcl-2 and XIAP and promotes apoptosis by stimulating their degradation via the ubiquitin-proteasome system (UPS).

5) An alternative model is that A4, like ARTS, binds directly to both XIAP and Bcl-2 with either low affinity or for a short time (“hit and run”).

6) Similarly, Bcl-2 overexpression has been associated with acquired resistance of pancreatic carcinoma [ xref ] corresponding to our data which show upregulation X-IAP and to a somehow weaker extent of Bcl-2 in response to DEX.

7) This potentiation of cisplatin activity was associated with HDAC inhibitor-mediated down-regulation of Bcl-2 and XIAP.

8) Pharmacological inhibition of GSK-3 increases methylation at several sites on histone H3 and histone H4 bound to the promoters of the NFκB target genes Bcl-2 and XIAP (Ougolkov et al., xref ).

9) Since ARTS, XIAP and Bcl-2 can form a complex, we investigated whether the decrease in Bcl-2 levels upon induction of apoptosis depends on the catalytic activity of XIAP.

10) Aberrant overexpression of Bcl-2 and XIAP is associated with tumorigenesis and increased resistance to chemotherapy in multiple malignancies. xref , xref Bcl-2 is a potent anti-apoptotic protein that protects cells from diverse stress challenges.  xref  A key function of Bcl-2 is to act as guardian of mitochondrial integrity by opposing pro-apoptotic Bcl-2 family members, and XIAP is also a potent inhibitor of caspases and apoptosis.

11) FEOJ-induced apoptosis was caspase-dependent through loss of mitochondrial membrane potential (MMP, ΔΨm) in human U937 cancer cells, which might be associated with suppression of Bcl-2 and XIAP proteins.

1) We have recently shown that ARTS binds directly to Bcl-2 and XIAP, bringing them into close proximity and allowing XIAP-the E3-ligase to degrade Bcl-2 via the Ubiquitin Proteasome System (UPS).

2) Recent studies have reported that ARTS can combine with BCL-2 to form a XIAP-ARTS-Bcl-2 complex.

3) Recent studies have reported that ARTS can combine with BCL-2 to form a XIAP, ARTS, and Bcl-2 complex.

4) The pro-apoptotic ARTS (Sept4_i2) protein binds directly to both Bcl-2 and XIAP and promotes apoptosis by stimulating their degradation via the ubiquitin-proteasome system (UPS).

5) ARTS directly binds to the BH3 domain of Bcl-2 and enables the formation of a XIAP, ARTS, and Bcl-2 complex.

1) Until recently, only a small subset of genes has been identified as miR-181b-5p target genes: p27, CREB1 and TIMP3 are involved in cell proliferation xref , xref , xref , xref ; BCL-2, MCL-1 and XIAP are associated with apoptosis and chemoresistance xref , xref ; Nrp1 is involved in cell migration xref , and importin-α3 is involved in vascular inflammation xref .

2) The synergistic effect of CDKI-73 with fludarabine was established at a molar ratio of 1:100, and the synergy mechanism was associated with CDKI-73- mediated transcriptional inhibition of Mcl-1, Bcl-2 and XIAP.

1) Consistent with our recent study suggesting that GSK-3 may regulate the nuclear activity of NF- κ B in leukaemia cells by affecting the binding of p65/p50 to the promoters of NF- κ B target genes Bcl-2 and XIAP ( xref ), we found that GSK-3 positively regulates NF- κ B p65 binding to Bcl-2 and XIAP promoters in human renal cancer cells.

1) Our ChIP experiments have demonstrated that SATB2 can directly bind to Bcl-2 and XIAP promoters.

1) Recent research has shown that ARTS can bind and inhibit XIAP and Bcl-2 directly or assist p53 in the degradation of Bcl-XL.","1) Similarly, Holcik and colleagues found that the La autoantigen stimulated the IRES in X-linked inhibitor of apoptosis mRNA (Holcik and Korneluk 2000 ).",,16539710; 18593928; 19920820; 21278889; 22125510; 23437222; 25003395; 25277198; 25561222; 25684472; 26247722; 27472393; 29020630; 32398959; 32587235; 35714512,11445534
GTF3A,RELB,MYOD1,PCM1,DecreaseAmount,Complex,DecreaseAmount,0.95,0.86,0.79,2,2,1,0.4014068,0.0084651373953557,Evidence from: biopax:msigdb,"1) MyoD and the alternative NF-κB transcription factor RelB cooperatively bind enhancers along the PGC-1β gene to regulate its transcription.

2) Given that MyoD and RelB bind to multiple sites on the PGC-1β locus and have complementary functions, we then asked if these transcription factors have a reciprocal effect on their binding affinities to the PGC-1β gene.

3) Therefore, regulation of PGC-1beta transcription is dependent on the mutual binding of MyoD and RelB to the PGC-1beta gene.

4) Together, our results show that PGC-1beta transcription is regulated by the cooperative binding of MyoD and RelB to the PGC-1beta gene.

1) Therefore, regulation of PGC-1β transcription is dependent on the mutual binding of MyoD and RelB to the PGC-1β gene.

2) Together, our results show that PGC-1β transcription is regulated by the cooperative binding of MyoD and RelB to the PGC-1β gene.",Evidence from: biopax:msigdb,,27705798,
GTF3A,BCL2,RN7SL179P,PYURF,DecreaseAmount,Activation,DecreaseAmount,0.79,0.9419,0.89,1,4,1,0.32440555,0.0091244793606116,Evidence from: biopax:msigdb,No evidence found,No evidence found,,,
GTF3A,BCL2,PAX5,CDC27,DecreaseAmount,Complex,DecreaseAmount,0.79,0.86,0.79,1,2,1,0.52649164,0.0094537726838503,Evidence from: biopax:msigdb,"1) There was a significant difference in two-year relapse-free survival between protein-positive and protein-negative combinations of Stat3-NF- κ B (P = 0.005), Bcl2-Stat3 (P = 0.009), Bcl2-Pax5 (P = 0.003), and BTK-Syk (P < 0.001).

2) There were significant differences in the two-year RFS rates between double-positive and double-negative protein expression groups of Stat3-NF- κ B (P = 0.005), Bcl2-Stat3 (P = 0.009), Bcl2-Pax5 (P = 0.003), and BTK-Syk (P < 0.001) ( xref ).",Evidence from: biopax:msigdb,,30534553,
GTF3A,IRS1,PAX4,R3HDM1,DecreaseAmount,Complex,DecreaseAmount,0.79,0.923,0.79,1,3,1,0.6667736,0.0105623208243127,Evidence from: biopax:msigdb,"1) In conclusion, the earlier suggested associations of IRS1 and PAX4 to T1D were not supported, suggesting that they may have been false positive results.

2) We have evaluated the association of IRS1 and PAX4 SNPs with T1D in a large collection of ASP families.

3) In summary, the earlier suggested associations of IRS1 and PAX4 to T1D are not supported in this study.",Evidence from: biopax:msigdb,,19956100,
GTF3A,POU5F1,NRF1,ATP5MC3,DecreaseAmount,Complex,DecreaseAmount,0.79,0.94757,0.79,1,5,1,0.21505995,0.0105888436353862,Evidence from: biopax:msigdb,"1) NRF1 binds to OCT4 to promote chemoresistance in AR-negative PC.

2) To investigate the possibility that OCT4 undergoes transcriptional activation with NRF1 in DU145 cells, we precipitated enrichment of OCT4 and NRF1 protein complex in proteins with IDR using b-isox (Supplementary Fig.  xref ).

3) These findings suggest that OCT4 interacts with NRF1 to increase promoter activity.

4) Interaction between OCT4 and NRF1 was also confirmed in these Cbz-resistant PC cells (Fig.  xref ).

5) Moreover, ribavirin treatment inhibits interaction between OCT4 with NRF1 in tumors (Fig.  xref ) These results suggest the repression of OCT4-centered TF collaborations in tumors without obvious toxic effect (Supplementary Fig.  xref ).

1) Top-scored motifs over-represented in ChIP loci with 2 ditags were also meaningful: they corresponded to NRF1 and KLF motifs, which were associated with POU5F1 binding as shown above (Fig.  xref ) and reported in the literature.  xref  In comparison, neither MEME  xref  nor Weeder  xref  found any meaningful motifs in both data sets with 3 or 2 ditags of POU5F1.",Evidence from: biopax:msigdb,,19740934; 34145268,
GTF3A,BCL2,NF1,ARCN1,DecreaseAmount,Activation,DecreaseAmount,0.79,0.86,0.982,1,2,3,0.48034605,0.0117613203521954,Evidence from: biopax:msigdb,"1) Co-inhibition of BCL2 and MCL1 synergizes with sirolimus to induce apoptosis in human NF1/PTEN-deficient melanoma cells.

2) Co-inhibition of BCL2 and MCL1 synergizes with sirolimus to cause apoptotic cell death nf1/pten-mutant melanomas in vivo.",Evidence from: biopax:msigdb,,34331013,
GTF3A,POU5F1,NRF1,UCHL3,DecreaseAmount,Complex,DecreaseAmount,0.79,0.94757,0.79,1,5,1,0.4994694,0.0119558392474782,Evidence from: biopax:msigdb,"1) NRF1 binds to OCT4 to promote chemoresistance in AR-negative PC.

2) To investigate the possibility that OCT4 undergoes transcriptional activation with NRF1 in DU145 cells, we precipitated enrichment of OCT4 and NRF1 protein complex in proteins with IDR using b-isox (Supplementary Fig.  xref ).

3) These findings suggest that OCT4 interacts with NRF1 to increase promoter activity.

4) Interaction between OCT4 and NRF1 was also confirmed in these Cbz-resistant PC cells (Fig.  xref ).

5) Moreover, ribavirin treatment inhibits interaction between OCT4 with NRF1 in tumors (Fig.  xref ) These results suggest the repression of OCT4-centered TF collaborations in tumors without obvious toxic effect (Supplementary Fig.  xref ).

1) Top-scored motifs over-represented in ChIP loci with 2 ditags were also meaningful: they corresponded to NRF1 and KLF motifs, which were associated with POU5F1 binding as shown above (Fig.  xref ) and reported in the literature.  xref  In comparison, neither MEME  xref  nor Weeder  xref  found any meaningful motifs in both data sets with 3 or 2 ditags of POU5F1.",Evidence from: biopax:msigdb,,19740934; 34145268,
GTF3A,NRF1,FOXO4,KATNBL1,DecreaseAmount,DecreaseAmount,DecreaseAmount,0.982,0.95,0.79,3,2,1,0.5478037,0.0119724856338824,Evidence from: biopax:msigdb,Evidence from: biopax:msigdb,Evidence from: biopax:msigdb,,,
GTF3A,BCL2,PLAU,HNRNPC,DecreaseAmount,Activation,IncreaseAmount,0.79,0.923,0.8775,1,3,2,0.21204832,0.0120672038435099,Evidence from: biopax:msigdb,"1) In addition, hypoxia induced Bcl2 expression and Bcl2 binding to c-Myc led to enhanced c-Myc-mediated uPA and MMP-2 activity in response to hypoxia.

2) In addition, Bcl2 enhanced the c-Myc-mediated uPA and MMP -2 pathway.

3) The molecular mechanism by which Bcl-2 promotes MMP-2 and uPA induction has not yet been elucidated.","1) Furthermore, uPA induced tyrosine phosphorylation of hnRNPC and uPAR expression through mRNA stabilization.",,17382917; 25375271,18494499
GTF3A,GRM3,MAGEB2,AC027031.2,DecreaseAmount,Complex,IncreaseAmount,0.79,0.86,0.89,1,2,1,0.85512406,0.0124422156338968,Evidence from: biopax:msigdb,No evidence found,No evidence found,,,
GTF3A,FOXO1,RFX1,SET,DecreaseAmount,DecreaseAmount,DecreaseAmount,0.79,0.79,0.79,1,1,1,0.17440914,0.0132213082839102,Evidence from: biopax:msigdb,Evidence from: biopax:msigdb,No evidence found,,,
GTF3A,SMAD7,PDCD4,PACSIN2,DecreaseAmount,DecreaseAmount,DecreaseAmount,0.79,0.8775,0.982423455,1,2,7,0.45401505,0.0132415286148285,Evidence from: biopax:msigdb,"1) Transfection of Smad7, a known antagonist to TGF-beta1 signaling, protected cells from TGF-beta1-mediated apoptosis and suppressed TGF-beta1-induced PDCD4 expression.",No evidence found,,16682950,
GTF3A,PAX2,PAX3,MAPKAP1,DecreaseAmount,DecreaseAmount,DecreaseAmount,0.79,0.79,0.79,1,1,1,0.42420754,0.0132911840137164,Evidence from: biopax:msigdb,Evidence from: biopax:msigdb,No evidence found,,,
GTF3A,POU2F1,PAX2,MYC,DecreaseAmount,DecreaseAmount,DecreaseAmount,0.79,0.982,0.79,1,3,1,0.3731887,0.0145487183938104,Evidence from: biopax:msigdb,Evidence from: biopax:msigdb,No evidence found,,,
