source,intermediate,target,stmt_type_1,stmt_type_2,belief_1,belief_2,evidence_1,evidence_2,logfoldchange,pvalue
SMAD3,hgnc:7866,FLT1,Activation,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Activation,IncreaseAmount,0.951,0.65,3,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Inhibition,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,IncreaseAmount,IncreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,IncreaseAmount,0.9419,0.65,4,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,IncreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,IncreaseAmount,0.9999990374978406,0.65,35,1,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,DecreaseAmount,0.65,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,DecreaseAmount,0.65,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,DecreaseAmount,0.65,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Activation,DecreaseAmount,0.951,0.95,3,2,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Inhibition,DecreaseAmount,0.65,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,IncreaseAmount,DecreaseAmount,0.86,0.95,2,2,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,DecreaseAmount,0.9419,0.95,4,2,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,DecreaseAmount,0.86,0.95,2,2,0.5718594,0.0003684610745881
SMAD3,hgnc:785,FLT1,Complex,DecreaseAmount,0.9999990374978406,0.95,35,2,0.5718594,0.0003684610745881
SMAD3,hgnc:784,FLT1,Complex,DecreaseAmount,0.941,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:784,FLT1,Activation,DecreaseAmount,0.941,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:784,FLT1,Inhibition,DecreaseAmount,0.65,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:784,FLT1,Complex,DecreaseAmount,0.65,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:784,FLT1,Complex,DecreaseAmount,0.9999994720506103,0.95,9,2,0.5718594,0.0003684610745881
SMAD3,hgnc:784,FLT1,Complex,DecreaseAmount,0.65,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7808,FLT1,IncreaseAmount,IncreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:7808,FLT1,Complex,IncreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:7808,FLT1,IncreaseAmount,DecreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:7808,FLT1,Complex,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:7775,FLT1,Complex,IncreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:7775,FLT1,Complex,IncreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:7139,FLT1,Complex,DecreaseAmount,0.99923,0.79,3,1,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,Complex,IncreaseAmount,0.65,0.98,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,Complex,IncreaseAmount,0.65,0.98,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,Inhibition,IncreaseAmount,0.8775000000000001,0.98,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,Inhibition,IncreaseAmount,0.65,0.98,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,IncreaseAmount,IncreaseAmount,0.9929999999837283,0.98,16,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,Complex,IncreaseAmount,0.65,0.98,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,IncreaseAmount,IncreaseAmount,0.65,0.98,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,Activation,IncreaseAmount,0.9926598,0.98,7,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,DecreaseAmount,IncreaseAmount,0.994475943,0.98,8,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,IncreaseAmount,IncreaseAmount,0.65,0.98,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,IncreaseAmount,IncreaseAmount,0.65,0.98,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:7176,FLT1,IncreaseAmount,IncreaseAmount,0.86,0.98,2,2,0.5718594,0.0003684610745881
SMAD3,hgnc:700,FLT1,Complex,IncreaseAmount,0.65,0.95,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:6563,FLT1,DecreaseAmount,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6563,FLT1,Inhibition,DecreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6563,FLT1,Activation,DecreaseAmount,0.86,0.65,2,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6563,FLT1,Complex,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6561,FLT1,DecreaseAmount,DecreaseAmount,0.65,0.65,1,1,0.5718594,0.0003684610745881
SMAD3,hgnc:6407,FLT1,Inhibition,IncreaseAmount,0.65,0.86,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:6407,FLT1,Activation,IncreaseAmount,0.65,0.86,1,2,0.5718594,0.0003684610745881
SMAD3,hgnc:6349,FLT1,Activation,DecreaseAmount,0.94999995217031,0.65,14,1,0.5718594,0.0003684610745881
