source,target,stmt_type,belief,evidence_count,logfoldchange,pval
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,FEN1,IncreaseAmount,0.65,1,2.3629503,0.0178516784294126
TP53,FDXR,DecreaseAmount,0.65,1,-0.6897298,0.0014586544553678
TP53,FDXR,DecreaseAmount,0.923,2,-0.6897298,0.0014586544553678
TP53,FDXR,IncreaseAmount,0.9986525,6,-0.6897298,0.0014586544553678
TP53,FBN1,IncreaseAmount,0.65,1,-0.5902338,0.0001317608987598
TP53,FBN1,DecreaseAmount,0.98922,3,-0.5902338,0.0001317608987598
TP53,FBN1,DecreaseAmount,0.86,2,-0.5902338,0.0001317608987598
TP53,FBL,DecreaseAmount,0.65,1,0.38890624,0.0017544310812966
TP53,FBL,IncreaseAmount,0.94757,5,0.38890624,0.0017544310812966
TP53,FBL,DecreaseAmount,0.982497933285,10,0.38890624,0.0017544310812966
TP53,FASN,DecreaseAmount,0.8775000000000001,2,0.30661413,0.007309175262141
TP53,FASN,IncreaseAmount,0.9419,4,0.30661413,0.007309175262141
TP53,MPZL2,DecreaseAmount,0.79,1,-0.35510913,0.019827319914774
TP53,BUB1B,IncreaseAmount,0.65,1,1.8309792,0.0021375329029055
TP53,BUB1,DecreaseAmount,0.65,1,2.0672827,6.396332584433987e-05
TP53,AURKA,IncreaseAmount,0.949980317,9,1.4509273,0.0005695795292335
TP53,AURKA,IncreaseAmount,0.9824993799855,3,1.4509273,0.0005695795292335
TP53,AURKA,DecreaseAmount,0.99596289,8,1.4509273,0.0005695795292335
TP53,NPM1,DecreaseAmount,0.65,1,0.20345703,4.4392154409419046e-05
TP53,NPM1,IncreaseAmount,0.86,2,0.20345703,4.4392154409419046e-05
TP53,NPM1,IncreaseAmount,0.951,1,0.20345703,4.4392154409419046e-05
TP53,NOTCH4,IncreaseAmount,0.86,2,-0.4843402,0.024161392922673
TP53,ATF4,DecreaseAmount,0.65,1,0.27661228,0.0070833539560479
TP53,ATF4,IncreaseAmount,0.86,2,0.27661228,0.0070833539560479
TP53,NMI,IncreaseAmount,0.65,1,0.6549858,0.0037130818393587
TP53,NME1,DecreaseAmount,0.65,1,0.18620008,0.0324599501566598
TP53,NME1,IncreaseAmount,0.9816495,6,0.18620008,0.0324599501566598
TP53,CDKN1A,IncreaseAmount,0.998598208,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.9899872,7,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.9899872,7,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,DecreaseAmount,0.79,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.9899872,7,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,DecreaseAmount,0.9899999999999979,21,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.996499999942656,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,DecreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.99649552,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,DecreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.9824999999877962,18,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,DecreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,DecreaseAmount,0.999499940951,9,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,DecreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,DecreaseAmount,0.949271,5,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.94999995217031,11,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,DecreaseAmount,0.65,1,-1.6007928,1.7810449500852907e-35
TP53,CDKN1A,IncreaseAmount,0.9994993008754173,7,-1.6007928,1.7810449500852907e-35
