source,target,stmt_type,belief,evidence_count,logfoldchange,pval
TP53,ANXA4,IncreaseAmount,0.979665,5,-0.30320075,0.0452675068371548
TP53,IFITM3,IncreaseAmount,0.98249981399565,12,-0.11445892,0.020819138039044
TP53,IFITM3,DecreaseAmount,0.923,2,-0.11445892,0.020819138039044
TP53,IFITM3,DecreaseAmount,0.65,1,-0.11445892,0.020819138039044
TP53,IFITM3,IncreaseAmount,0.65,1,-0.11445892,0.020819138039044
TP53,IFI27,DecreaseAmount,0.65,1,-0.457836,6.044784531735185e-15
TP53,PTMA,DecreaseAmount,0.65,1,0.38887814,7.272669620831485e-35
TP53,BAX,DecreaseAmount,0.65,1,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.9998747499,6,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.65,1,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.9985999999954125,2,-0.7665455,3.2920565205639297e-17
TP53,BAX,DecreaseAmount,0.65,1,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.86,1,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.65,1,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.989999999967232,15,-0.7665455,3.2920565205639297e-17
TP53,BAX,DecreaseAmount,0.949271,5,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.9419,3,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.65,1,-0.7665455,3.2920565205639297e-17
TP53,BAX,DecreaseAmount,0.9974999999941887,56,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.9994999999983616,25,-0.7665455,3.2920565205639297e-17
TP53,BAX,IncreaseAmount,0.9999999999999206,334,-0.7665455,3.2920565205639297e-17
TP53,PSME2,DecreaseAmount,0.95,2,0.22250257,0.027460557066423
TP53,RBM25,IncreaseAmount,0.65,1,0.37106845,9.492131783894782e-05
TP53,RBM25,DecreaseAmount,0.86,2,0.37106845,9.492131783894782e-05
TP53,TM7SF3,DecreaseAmount,0.65,1,-0.4198014,0.0140141301473579
TP53,TM7SF3,IncreaseAmount,0.951,3,-0.4198014,0.0140141301473579
TP53,CPD,IncreaseAmount,0.65,1,-0.51792026,0.0004293422749036
TP53,DEPDC1,DecreaseAmount,0.65,1,1.9112662,0.0021727436570704
TP53,UBE2N,IncreaseAmount,0.65,1,0.28375864,0.0228083689181363
