Gene,Num_Significant_DEGs
QTRT1,129
ZNF324B,129
ZNRF1,129
ALS2CL,128
PRKD1,128
PHRF1,128
ROCK2,128
ADAMTS10,128
BABAM1,127
SPRED3,127
DYNC2LI1,127
NOTCH4,127
ALKBH3,126
SMIM13,126
TMEM123,126
DNALI1,126
GSS,125
ABCA5,125
FAIM,124
TNXB,123
ABHD2,123
C1orf54,122
SMARCC1,122
RSPO3,121
VWF,121
STAC3,121
QPCT,120
SLC26A6,120
MYH11,119
EGR1,118
NUCB1,117
MMP11,115
TMEM38A,115
PEX6,114
SMUG1,114
OASL,114
PMAIP1,113
ZNF581,113
HECW1,112
DHODH,104
CDKN1A,-1
TP53,-1
