source,intermediate,target,stmt_type_1,stmt_type_2,belief_1,belief_2,evidence_1,evidence_2,logfoldchange,pvalue
PVT1,hgnc:6973,RPL26,Complex,DecreaseAmount,0.65,0.65,1,1,0.14766796,1.1578493921006478e-08
PVT1,hgnc:11998,RPL26,Complex,IncreaseAmount,0.65,0.65,1,1,0.14766796,1.1578493921006478e-08
PVT1,hgnc:11998,RPL26,Activation,IncreaseAmount,0.65,0.65,1,1,0.14766796,1.1578493921006478e-08
PVT1,hgnc:11998,RPL26,Complex,IncreaseAmount,0.65,0.65,1,1,0.14766796,1.1578493921006478e-08
PVT1,hgnc:11998,RPL26,Complex,IncreaseAmount,0.923,0.65,3,1,0.14766796,1.1578493921006478e-08
PVT1,hgnc:11998,RPL26,Complex,IncreaseAmount,0.65,0.65,1,1,0.14766796,1.1578493921006478e-08
PVT1,hgnc:11766,RPL26,Complex,DecreaseAmount,0.65,0.65,1,1,0.14766796,1.1578493921006478e-08
PVT1,hgnc:11766,RPL26,IncreaseAmount,DecreaseAmount,0.65,0.65,1,1,0.14766796,1.1578493921006478e-08
PVT1,hgnc:11766,RPL26,Activation,DecreaseAmount,0.97305,0.65,4,1,0.14766796,1.1578493921006478e-08
PVT1,hgnc:7553,EEF1B2,Complex,DecreaseAmount,0.65,0.982,1,3,0.20432004,7.979352432901177e-07
PVT1,hgnc:7553,EEF1B2,Activation,DecreaseAmount,0.65,0.982,1,3,0.20432004,7.979352432901177e-07
PVT1,hgnc:7553,EEF1B2,Complex,DecreaseAmount,0.65,0.982,1,3,0.20432004,7.979352432901177e-07
PVT1,hgnc:7553,EEF1B2,Inhibition,DecreaseAmount,0.98922,0.982,5,3,0.20432004,7.979352432901177e-07
PVT1,hgnc:7553,EEF1B2,Complex,DecreaseAmount,0.65,0.982,1,3,0.20432004,7.979352432901177e-07
PVT1,hgnc:7553,EEF1B2,Complex,DecreaseAmount,0.99615,0.982,145,3,0.20432004,7.979352432901177e-07
PVT1,hgnc:12856,EEF1B2,Complex,DecreaseAmount,0.86,0.79,2,1,0.20432004,7.979352432901177e-07
PVT1,hgnc:11291,EEF1B2,Complex,DecreaseAmount,0.65,0.95,1,2,0.20432004,7.979352432901177e-07
PVT1,hgnc:7553,RPS2,Complex,DecreaseAmount,0.65,0.95,1,2,0.12313596,9.725456042161076e-07
PVT1,hgnc:7553,RPS2,Activation,DecreaseAmount,0.65,0.95,1,2,0.12313596,9.725456042161076e-07
PVT1,hgnc:7553,RPS2,Complex,DecreaseAmount,0.65,0.95,1,2,0.12313596,9.725456042161076e-07
PVT1,hgnc:7553,RPS2,Inhibition,DecreaseAmount,0.98922,0.95,5,2,0.12313596,9.725456042161076e-07
PVT1,hgnc:7553,RPS2,Complex,DecreaseAmount,0.65,0.95,1,2,0.12313596,9.725456042161076e-07
PVT1,hgnc:7553,RPS2,Complex,DecreaseAmount,0.99615,0.95,145,2,0.12313596,9.725456042161076e-07
PVT1,mesh:D000544,MT-ND6,Complex,DecreaseAmount,0.65,0.86,1,2,0.5247666,4.090150427023555e-06
PVT1,hgnc:990,MT-ND6,Activation,IncreaseAmount,0.65,0.65,1,1,0.5247666,4.090150427023555e-06
PVT1,hgnc:990,MT-ND6,Complex,IncreaseAmount,0.65,0.65,1,1,0.5247666,4.090150427023555e-06
PVT1,hgnc:6973,MT-ND6,Complex,DecreaseAmount,0.65,0.65,1,1,0.5247666,4.090150427023555e-06
PVT1,hgnc:2976,MT-ND6,Complex,DecreaseAmount,0.65,0.86,1,2,0.5247666,4.090150427023555e-06
PVT1,hgnc:2976,MT-ND6,Complex,DecreaseAmount,0.923,0.86,3,2,0.5247666,4.090150427023555e-06
PVT1,mesh:D009361,EEF1A1,Inhibition,DecreaseAmount,0.97305,0.65,4,1,0.09954942,4.429839848959976e-06
PVT1,mesh:D009361,EEF1A1,Activation,DecreaseAmount,0.9499999999651322,0.65,20,1,0.09954942,4.429839848959976e-06
PVT1,mesh:D000544,EEF1A1,Complex,DecreaseAmount,0.65,0.65,1,1,0.09954942,4.429839848959976e-06
PVT1,hgnc:3942,EEF1A1,IncreaseAmount,IncreaseAmount,0.65,0.65,1,1,0.09954942,4.429839848959976e-06
