source_gene,target_gene,log_fold_change,abs_log_fold_change,p_value,linear_fold_change,neg_log10_pval
XPO7,UBE2C,1.7953829,1.7953829,0.0062867217350243,3.4710758709221663,2.201575762111709
XPO7,TOP2A,1.7889636,1.7889636,0.0053932340957868,3.4556655601330193,2.268150728552562
TMEM167B,SLC35F6,-1.7772907,1.7772907,0.0405346154948966,3.4278184476605427,1.392173942277559
RWDD2B,LINC01355,1.7390994,1.7390994,0.0194304566558137,3.338267119396271,1.711516992464062
XPO7,FAM83D,1.7316334,1.7316334,0.0309858979489278,3.3210360881043464,1.5088359137917355
XPO7,DLGAP5,1.7163911,1.7163911,0.0001644569326731,3.286133519754094,3.7839478141350464
XPO7,CENPE,1.7126687,1.7126687,0.0240524517247442,3.27766566208938,1.6188406483438547
GPSM3,LGALS8,-1.6624054,1.6624054,0.0394719554941204,3.1654385739278905,1.4037113575348423
XPO7,CCNA2,1.6257229,1.6257229,0.0386072540047215,3.0859675680563834,1.4133310870837315
GPSM3,LRBA,-1.605459,1.605459,0.0228558579918925,3.0429254730948188,1.6410024709771276
GPSM3,KLHDC10,-1.6014093,1.6014093,0.0257036788652483,3.034395842343596,1.5900047133794235
FLI1,ATP6V1A,-1.5693107,1.5693107,5.1221236603355726e-05,2.967628909889642,4.290549940831845
XPO7,PRC1,1.5607872,1.5607872,0.0001985240273355,2.9501477302067487,3.702186923118864
XPO7,CENPF,1.5512686,1.5512686,0.0048733274712871,2.9307473430165856,2.312174404503265
XPO7,KIF11,1.5005555,1.5005555,0.0314368659990758,2.829516401239411,1.5025607561170349
