pathway_type,count,mean_abs_fc,mean_neg_log10_pval,mean_belief,std_fc,median_fc,fc_95th
1-hop,183.0,0.6558927066885245,3.1345516920972036,0.8931396929049791,0.4523523611565351,0.533723,1.5851413900000002
2-hop,25255.0,0.4363877768542269,1.7317320715557922,0.875097129880576,0.2450732383228363,0.39292708,0.8814855779999999
3-hop,28362.0,0.4653835201635992,1.7167319478064678,0.9074056816852182,0.25475358972386514,0.42231675999999996,0.9221518349999994
unexplained,2386.0,0.4882429347326068,1.8080756226021752,0.5,0.25749438255185203,0.44285103000000003,0.951543625
