gene,deg_count,explained_unique_targets,percent_explained
SLC2A6,0,0,
BABAM1,0,0,
GSTO2,0,0,
ECM1,0,0,
CPNE5,0,0,
DYNC2LI1,0,0,
DNALI1,0,0,
C18orf32,0,0,
HINT3,0,0,
SEC61A2,0,0,
ROCK2,0,0,
LAG3,0,0,
PVR,0,0,
ACAD11,0,0,
MICALL2,0,0,
STK38,0,0,
GPR162,0,0,
TRAF3IP2,0,0,
GSTM2,0,0,
ABCA5,0,0,
ZDHHC18,0,0,
TTBK2,0,0,
C1orf54,0,0,
NUDT3,0,0,
OMA1,0,0,
SLC2A11,0,0,
PHRF1,0,0,
SNX13,0,0,
DTYMK,0,0,
REXO4,0,0,
WDR47,0,0,
DET1,0,0,
PLBD2,0,0,
CDKN1A,0,0,
RAB3A,0,0,
MANEA,0,0,
NFKBIL1,0,0,
TSLP,0,0,
ARNT,0,0,
ACCS,0,0,
KDM6B,0,0,
TAOK1,0,0,
NR2C1,0,0,
MAP3K6,0,0,
CX3CL1,0,0,
ZNF581,0,0,
PLXNB1,0,0,
RAB5B,0,0,
TRIP12,0,0,
TMUB1,0,0,
COASY,0,0,
QRICH2,0,0,
CDKN2B,0,0,
ZNF229,0,0,
APH1A,0,0,
ATXN7L2,0,0,
EGR1,0,0,
TRIB1,0,0,
TMEM38A,0,0,
HAPLN3,0,0,
ITGA1,0,0,
MEGF9,0,0,
SFT2D3,0,0,
PLEKHH3,0,0,
RAB1A,0,0,
GRB14,0,0,
ZNF785,0,0,
OTUD7B,0,0,
TLR4,0,0,
MGA,0,0,
STAC3,0,0,
NOS3,0,0,
CYB561D1,0,0,
ADAMTS10,0,0,
MIER3,0,0,
RAP1A,0,0,
BMPER,0,0,
SETD3,0,0,
DOCK9,0,0,
PEX6,0,0,
EZR,0,0,
MIR762HG,0,0,
COLGALT1,0,0,
PSMD5,0,0,
TNXB,0,0,
FYCO1,0,0,
IFI30,0,0,
P2RX7,0,0,
HEATR5B,0,0,
ZNF324B,0,0,
REST,0,0,
AGAP2,0,0,
ARL4A,0,0,
TTC32,0,0,
KMT2D,0,0,
RPL7L1,0,0,
AGPAT1,0,0,
ITGB4,0,0,
DNMT3A,0,0,
AMT,0,0,
POGZ,0,0,
PECR,0,0,
SEC11C,0,0,
SELE,0,0,
EDEM2,0,0,
AKAP12,0,0,
VPS11,0,0,
IQGAP1,0,0,
DMRTA1,0,0,
ABHD17C,0,0,
RASIP1,0,0,
TMEM115,0,0,
ARHGAP26,0,0,
PLPP3,0,0,
PDP1,0,0,
ZNF22,0,0,
HSPA13,0,0,
RGS12,0,0,
POLG,0,0,
B3GNT8,0,0,
TNFRSF1B,0,0,
MAP1LC3B2,0,0,
RNFT1,0,0,
THADA,0,0,
FAIM,0,0,
MT1F,0,0,
TRPC4AP,0,0,
MESP1,0,0,
KLHL7,0,0,
XPO7,0,0,
TRA2A,0,0,
PDLIM2,0,0,
MYEOV,0,0,
CCDC36,0,0,
SMARCC1,0,0,
TNS2,0,0,
PLEKHA5,0,0,
LTN1,0,0,
SH3RF1,0,0,
ZNF764,0,0,
PHF19,0,0,
RAD50,0,0,
CDH13,0,0,
LSP1,0,0,
RAP1GDS1,0,0,
NCEH1,0,0,
SNAPC5,0,0,
GPSM3,0,0,
HIF1A,0,0,
GLI2,0,0,
SHISA4,0,0,
MYH11,0,0,
PHLDA3,0,0,
EVL,0,0,
TBCEL,0,0,
ZNF281,0,0,
FLII,0,0,
MUS81,0,0,
ADAMTS7,0,0,
TTLL11,0,0,
DHODH,0,0,
KCTD9,0,0,
TRAF6,0,0,
PRR14,0,0,
DGKA,0,0,
SLC26A6,0,0,
RBFOX2,0,0,
CLDN1,0,0,
INPP5D,0,0,
UBA5,0,0,
IGFBP2,0,0,
CEP41,0,0,
REPIN1,0,0,
DKK1,0,0,
NUDT1,0,0,
ZSCAN29,0,0,
FYN,0,0,
TNFRSF14,0,0,
NDUFAF1,0,0,
ST3GAL4,0,0,
NOTCH4,0,0,
SOCS5,0,0,
CYTH3,0,0,
NCOA5,0,0,
OASL,0,0,
TMEM184C,0,0,
SVIL,0,0,
IBTK,0,0,
CYP2J2,0,0,
GSS,0,0,
ZNF774,0,0,
DDX60L,0,0,
ABCG4,0,0,
HHAT,0,0,
CHUK,0,0,
RNF146,0,0,
MMP11,0,0,
KIF3A,0,0,
TRIM68,0,0,
UBE2D1,0,0,
SIX2,0,0,
HECW1,0,0,
RWDD2B,0,0,
MOCS2,0,0,
SLC46A3,0,0,
AGAP3,0,0,
USP25,0,0,
DMXL1,0,0,
VPS45,0,0,
PLTP,0,0,
IFIT1,0,0,
AP1G1,0,0,
TNFSF10,0,0,
POLR2M,0,0,
CCRL2,0,0,
AAGAB,0,0,
RAPGEF3,0,0,
PRKD1,0,0,
KALRN,0,0,
ABHD16A,0,0,
MAST3,0,0,
PMVK,0,0,
LIPG,0,0,
NT5C3B,0,0,
AGTRAP,0,0,
ACOT8,0,0,
ZNRF1,0,0,
IRF1,0,0,
COG2,0,0,
CCL2,0,0,
TMEM9,0,0,
CREB1,0,0,
LTB,0,0,
CD40,0,0,
QPCT,0,0,
BOLA1,0,0,
DAP,0,0,
GCOM1,0,0,
BLOC1S3,0,0,
GABARAPL2,0,0,
KPNA2,0,0,
TMEM167B,0,0,
AGPAT4,0,0,
DGCR6L,0,0,
TRIM47,0,0,
