names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
WIPI2,2.9415758,0.68702644,0.003265469233713333,1.0,0.6716417910447762
TKT,2.621949,0.21353222,0.008742853936395465,1.0,1.0
ITGB5,2.525465,0.7007185,0.011554530104082219,1.0,0.5373134328358209
PRMT2,2.5130513,0.45153755,0.011969197610650018,1.0,0.7611940298507462
RABEP1,2.507742,0.66673297,0.012150539279049858,1.0,0.5671641791044776
RIOK3,2.491241,0.6559559,0.012729772053744544,1.0,0.582089552238806
MT-ND5,2.4430373,0.21787693,0.014564232469855238,1.0,1.0
MYOF,2.4220674,0.47372332,0.015432483651338081,1.0,0.8656716417910447
LSM4,2.3574393,0.43656677,0.018401462936319238,1.0,0.8059701492537313
NOSIP,2.354269,0.6728417,0.018559174243012528,1.0,0.5223880597014925
LYN,2.3080897,0.7446602,0.020994150647216055,1.0,0.44776119402985076
SRCAP,2.2812757,1.3096075,0.022532130172156665,1.0,0.2835820895522388
RAB10,2.2644312,0.4593501,0.023547604010587673,1.0,0.7014925373134329
TUBG2,2.258167,1.5918239,0.023935246823651092,1.0,0.2537313432835821
FZD6,2.256792,0.49625537,0.024021076126794345,1.0,0.5970149253731343
MACF1,2.2020185,0.30260426,0.027664005784485555,1.0,0.835820895522388
BTG3,2.1988864,0.6477651,0.027886004932618044,1.0,0.5074626865671642
ASXL1,2.1940353,0.5239363,0.028232864065063434,1.0,0.5970149253731343
LTA4H,2.1864343,0.66295373,0.028783843594325977,1.0,0.5522388059701493
UBXN4,2.1792152,0.35025418,0.029315682832338243,1.0,0.8208955223880597
POLR2H,2.1778784,0.5034955,0.02941509389081077,1.0,0.6119402985074627
OSBP,2.1665723,0.8204812,0.030267485422960927,1.0,0.3880597014925373
DIPK1B,2.153662,0.62047213,0.03126669703044065,1.0,0.5373134328358209
FOXF1,2.1387653,1.2212378,0.0324546795185959,1.0,0.29850746268656714
MAP3K13,2.1370082,0.49155644,0.03259731751919665,1.0,0.6268656716417911
SMURF2,2.1280704,0.3027132,0.03333125147590863,1.0,0.8059701492537313
POLR2I,2.1242888,0.36401948,0.033645992493659994,1.0,0.835820895522388
AURKAIP1,2.123334,0.319659,0.03372587337176299,1.0,0.8805970149253731
HNRNPU,2.115962,0.34459376,0.0343480302338398,1.0,0.9104477611940298
DLD,2.1097744,0.7574558,0.03487780075000065,1.0,0.44776119402985076
GNB1,2.1070242,0.2984001,0.03511548464709107,1.0,0.8507462686567164
AKAP12,2.0991938,0.6035031,0.03579980967366455,1.0,0.5671641791044776
KIAA2013,2.0979717,0.6870394,0.03590765082960347,1.0,0.417910447761194
PBX3,2.0901797,1.2411914,0.036601670507784165,1.0,0.2835820895522388
ETV1,2.0844884,1.0663947,0.03711577030178746,1.0,0.31343283582089554
MRPS36,2.0828078,0.4474667,0.037268755870678814,1.0,0.6417910447761194
DLG1,2.0773838,0.37123272,0.03776614866860198,1.0,0.746268656716418
LRRFIP1,2.068866,0.33622783,0.03855865964456987,1.0,0.8059701492537313
MIR99AHG,2.063595,0.6661183,0.03905613765147905,1.0,0.47761194029850745
IFITM3,2.0367048,0.12602651,0.0416796407906961,1.0,0.9850746268656716
TRAPPC3,2.0345275,0.44326273,0.041898435407963126,1.0,0.7014925373134329
TRAM1,2.0315483,0.29377967,0.0421994132279009,1.0,0.8656716417910447
USP7,2.03151,0.6889862,0.04220328376315796,1.0,0.40298507462686567
CAPNS1,2.0247493,0.32830808,0.04289311626654738,1.0,0.9253731343283582
SNX17,2.0207767,0.5004453,0.04330286979068554,1.0,0.5970149253731343
ARL8B,2.0185997,0.6828897,0.043528845979921106,1.0,0.43283582089552236
PAFAH1B1,2.0011058,0.4748638,0.045380995391831574,1.0,0.582089552238806
COMT,1.997859,0.3221746,0.04573194257290328,1.0,0.7910447761194029
PACS2,1.9922442,0.8072358,0.046344271192593836,1.0,0.34328358208955223
HDLBP,1.9896086,0.27144006,0.04663406261904132,1.0,0.8507462686567164
MED13L,1.986973,0.61127853,0.04692537761693872,1.0,0.44776119402985076
MEAF6,1.9849488,0.43315905,0.0471501796499404,1.0,0.5970149253731343
EEF1G,1.9842612,0.12619221,0.04722673328021953,1.0,0.9850746268656716
AGO2,1.9842612,0.5555559,0.04722673328021953,1.0,0.5522388059701493
SVBP,1.9825423,0.79994196,0.04741857481693371,1.0,0.373134328358209
CMTM7,1.9782643,0.6356458,0.047898893838015495,1.0,0.44776119402985076
PSMB4,1.9736807,0.3979612,0.04841805201043682,1.0,0.746268656716418
SWAP70,1.9618018,0.5525101,0.049785573265989834,1.0,0.5522388059701493
JUN,1.961076,0.41709253,0.049870159026952694,1.0,0.6268656716417911
HK1,1.9593571,0.5983819,0.050070974496791036,1.0,0.4925373134328358
VPS35L,1.9581349,0.8378955,0.050214188666180236,1.0,0.3283582089552239
UTP4,1.952902,1.0905448,0.0508312115343346,1.0,0.26865671641791045
NUDC,1.9430856,0.2864938,0.052005826376273476,1.0,0.9253731343283582
CALR,1.9388458,0.19111472,0.05252012629402609,1.0,0.9850746268656716
AGFG1,1.9340712,0.56964624,0.05310437617339654,1.0,0.5223880597014925
C11orf1,1.930519,1.3717108,0.05354257245100194,1.0,0.23880597014925373
R3HDM2,1.9304426,0.4390493,0.05355202909298336,1.0,0.6268656716417911
FAM219B,1.9279215,0.8723098,0.053864881599891015,1.0,0.34328358208955223
HAT1,1.9277306,0.68809104,0.05388864458927712,1.0,0.417910447761194
PSMD4,1.9266229,0.44628954,0.05402664255637056,1.0,0.7014925373134329
ANXA6,1.9263173,0.48512688,0.05406476282373959,1.0,0.582089552238806
SNRPA,1.9240255,0.4881299,0.05435138093606648,1.0,0.5223880597014925
DYNC1LI1,1.9218866,0.43869966,0.05462003386171388,1.0,0.6567164179104478
MT-ND6,1.919251,0.36274448,0.05495257485880034,1.0,0.8805970149253731
NLN,1.9139799,0.6344687,0.05562272210478229,1.0,0.417910447761194
SYNE1,1.9077921,0.5646809,0.056418090964754745,1.0,0.5373134328358209
CEP57,1.9060733,0.7838645,0.05664069949536858,1.0,0.40298507462686567
EXOSC8,1.894347,0.8086343,0.05817896615223831,1.0,0.34328358208955223
TBCB,1.8915969,0.41203257,0.05854471381710198,1.0,0.7164179104477612
FLNB,1.881704,0.30518374,0.05987621414096354,1.0,0.8656716417910447
PBX2,1.8719257,1.0721967,0.061216875776064765,1.0,0.2537313432835821
MYH9,1.8695958,0.346155,0.06153997181006022,1.0,0.8805970149253731
RPL27,1.8638663,0.08768376,0.06234047808427181,1.0,1.0
HGS,1.8572966,0.64332604,0.06326897340329377,1.0,0.3880597014925373
ACAA1,1.8525984,0.7979283,0.06393994016734074,1.0,0.3582089552238806
VCP,1.8508031,0.31399068,0.06419787271223805,1.0,0.8208955223880597
COL5A1,1.8463342,0.49092534,0.06484369277258491,1.0,0.5970149253731343
SRSF7,1.8449973,0.40170926,0.06503792514741255,1.0,0.6417910447761194
PPP3CA,1.8427819,0.43942824,0.0653608524004762,1.0,0.6716417910447762
ANP32A,1.8374727,0.3596239,0.06614014810504232,1.0,0.7164179104477612
AKIRIN2,1.8355628,0.4791486,0.06642233588122996,1.0,0.4925373134328358
LIAS,1.8302153,1.1186649,0.06721774141450282,1.0,0.2537313432835821
ENTPD3-AS1,1.8296043,1.2794923,0.06730914200397696,1.0,0.22388059701492538
SF3A1,1.8224615,0.7304436,0.0683849891366387,1.0,0.3582089552238806
PLD3,1.8216593,0.3627298,0.06850668420274476,1.0,0.7164179104477612
IST1,1.8172668,0.60775924,0.06917626986066752,1.0,0.43283582089552236
DRAM2,1.8150514,0.57907695,0.06951600781945555,1.0,0.417910447761194
