hop,mean,median,std,min,max,count
1-hop,3.937625754527163,1.0,12.995118996711428,1.0,139.0,497
2-hop,4.303454573515793,1.5,30.79170121593361,1.0,9800.0,583140
3-hop,2.9391112247133573,2.0,5.495856062690869,1.0,299.6666666666667,54772
