source,target,stmt_type,english_stmt,belief,evidence_count,logfoldchange,pval,stmt_hash,source_counts
OMA1,CYCS,IncreaseAmount,,0.5256427349609928,4,0.34774268,0.0113870133673438,2274215660831299,{'reach': 4}
MALAT1,RHOA,IncreaseAmount,,0.48445268803510766,1,-0.24668206,0.0392991691442529,34635309998464654,{'reach': 1}
MALAT1,RHOA,DecreaseAmount,,0.5034580088219961,4,-0.24668206,0.0392991691442529,-16340000129504511,{'reach': 4}
MALAT1,HIF1A,IncreaseAmount,,0.48445268803510766,1,-0.40985954,0.0061920520952712,26011895192769312,{'reach': 1}
MALAT1,HIF1A,DecreaseAmount,,0.4684848027297138,2,-0.40985954,0.0061920520952712,5254825076428482,{'reach': 2}
MALAT1,HIF1A,IncreaseAmount,,0.504176544902569,4,-0.40985954,0.0061920520952712,26562130195832504,{'reach': 4}
MALAT1,EEF2,IncreaseAmount,,0.47153156304100474,2,-0.21925202,0.000855519533364,-1500483024858509,{'reach': 2}
TSLP,TIMP1,DecreaseAmount,,0.4684848027297138,2,-0.3117764,0.004187532041935,23030392677893135,{'reach': 2}
ARNT,PKN1,DecreaseAmount,,0.6301266297471854,1,0.52537405,0.0038530252802185,-2219487261041040,{'pc': 1}
ARNT,CCN1,DecreaseAmount,,0.47385749870081684,1,0.35846192,0.0057811704470708,-30382324736278994,{'reach': 1}
ARNT,PKM,IncreaseAmount,,0.6338440180056664,2,0.19717833,0.0137899912667776,16258579789913458,{'pc': 2}
ARNT,MTUS1,DecreaseAmount,,0.6301266297471854,1,0.33070013,0.0157162961038467,-18011662726356204,{'pc': 1}
ARNT,ANKRD17,DecreaseAmount,,0.6301266297471854,1,0.44186068,0.0373491491183218,-31505111458027294,{'pc': 1}
ARNT,S100A10,IncreaseAmount,,0.45837692893082216,1,0.11214635,0.0427189785268367,-34748730322252659,{'sparser': 1}
ARNT,PHF20,DecreaseAmount,,0.6301266297471854,1,-0.4220865,0.0466969317783264,-10654822354471792,{'pc': 1}
ARNT,GYG1,DecreaseAmount,,0.6301266297471854,1,-0.7638555,0.0417098429050816,-18934025393091484,{'pc': 1}
ARNT,REEP3,DecreaseAmount,,0.6301266297471854,1,-0.3673012,0.0388924240662249,-33144335391762567,{'pc': 1}
ARNT,UBR5,DecreaseAmount,,0.6309317981560123,2,-0.5193399,0.036927946266608,-15987758974279816,{'pc': 2}
ARNT,NAMPT,IncreaseAmount,,0.48445268803510766,1,-0.358184,0.0328819425490891,2490731961359233,{'reach': 1}
ARNT,TUG1,DecreaseAmount,,0.6301266297471854,1,-0.67258435,0.0279895497440488,-33430608273218011,{'pc': 1}
ARNT,AFF4,DecreaseAmount,,0.6301266297471854,1,-0.5896526,0.0277054098668038,-8045727762933422,{'pc': 1}
ARNT,CTNNB1,DecreaseAmount,,0.47385749870081684,1,-0.51026624,0.022794949285494,-15218465819133270,{'reach': 1}
KDM6B,NOTCH1,DecreaseAmount,,0.4684848027297138,2,-1.1600019,0.0455279917233684,-9045430558751660,{'reach': 2}
KDM6B,NOTCH1,IncreaseAmount,,0.4922809406747177,7,-1.1600019,0.0455279917233684,10001114788556626,{'reach': 7}
KDM6B,ZEB1,IncreaseAmount,,0.5028536023408147,3,-0.4532662,0.0090073483394078,-5627371113332543,{'reach': 3}
CX3CL1,BAX,IncreaseAmount,,0.47153156304100474,2,-0.2692872,0.0304542292128022,19629549010048744,{'reach': 2}
PLXNB1,SQSTM1,IncreaseAmount,,0.48445268803510766,1,-0.31343994,0.0339696389795323,-31544740339990926,{'reach': 1}
PLXNB1,VIM,DecreaseAmount,,0.47385749870081684,1,-0.069151506,0.0170884337179774,24146073054936447,{'reach': 1}
PA2G4,SERPINE1,IncreaseAmount,,0.48445268803510766,1,0.20755504,0.0296735299497222,-18226103511728402,{'reach': 1}
TRIP12,VIM,DecreaseAmount,,0.47385749870081684,1,-0.11328,0.0030261697500522,-13395102050641717,{'reach': 1}
CDKN2B,CCNB1,DecreaseAmount,,0.47385749870081684,1,0.9695503,0.0340396220833305,-13583498615816277,{'reach': 1}
CDKN2B,MKI67,IncreaseAmount,,0.48445268803510766,1,1.1266316,0.0452689960890133,19315810617912966,{'reach': 1}
CDKN2B,PRKCSH,IncreaseAmount,,0.48445268803510766,1,-0.37827718,0.0440593100744162,-23868205149793941,{'reach': 1}
CDKN2B,CDK4,DecreaseAmount,,0.5034580088219961,4,-0.43708497,0.0328474570943157,537637528066148,{'reach': 4}
CTNND1,APP,DecreaseAmount,,0.6329669864572899,2,0.14261414,0.0473960186021968,23852295667572578,{'medscan': 2}
EGR1,RHOA,IncreaseAmount,,0.47153156304100474,2,0.1582486,0.0170681821417484,-23876122254598872,{'reach': 2}
EGR1,RHOA,DecreaseAmount,,0.6030266315805022,3,0.1582486,0.0170681821417484,-23825595891369171,"{'reach': 2, 'pc': 1}"
EGR1,JUN,DecreaseAmount,,0.47385749870081684,1,0.35771897,0.0178112588216214,7299635261106239,{'reach': 1}
EGR1,JUN,IncreaseAmount,,0.47153156304100474,2,0.35771897,0.0178112588216214,-32403742449159641,{'reach': 2}
EGR1,ATP2B4,IncreaseAmount,,0.48445268803510766,1,0.533723,0.0223068929047652,-25781023198821367,{'reach': 1}
EGR1,ATP2B4,IncreaseAmount,,0.5256427349609928,3,0.533723,0.0223068929047652,-16705667599610725,{'reach': 3}
